----,
DateTime:        , 2023/03/14, 11:22:50, 1678803770799,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,    1258.62,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    719.143,
    1,        0.8,    163.149,     735.832,    742.484,
    2,        3.3,    180.288,     776.364,    770.783,
    3,        5.8,    180.247,     813.052,    801.287,
    4,        8.3,    180.219,     841.752,    833.478,
    5,       10.8,    180.329,     870.906,    866.940,
    6,       13.3,    180.329,     901.961,    901.293,
    7,       15.8,    180.357,     935.090,    936.231,
    8,       18.3,    180.508,     965.883,    971.506,
    9,       20.8,    180.481,    1000.106,   1006.873,
   10,       23.3,    180.605,    1034.303,   1042.156,
   11,       25.8,    180.563,    1069.984,   1077.172,
   12,       28.3,    180.522,    1105.405,   1111.778,
   13,       30.8,    180.674,    1139.624,   1145.874,
   14,       33.3,    180.770,    1174.144,   1179.350,
   15,       35.8,    180.825,    1206.968,   1212.114,
   16,       38.3,    180.632,    1242.580,   1244.065,
   17,       40.8,    180.701,    1273.097,   1275.164,
   18,       43.3,    180.784,    1305.151,   1305.361,
   19,       45.8,    180.701,    1336.184,   1334.600,
   20,       48.3,    180.729,    1367.797,   1362.858,
   21,       50.8,    180.756,    1393.590,   1390.111,
   22,       53.3,    180.825,    1421.817,   1416.344,
   23,       55.8,    180.908,    1446.595,   1441.549,
   24,       58.3,    180.935,    1472.351,   1465.719,
   25,       60.8,    180.797,    1493.937,   1488.850,
   26,       63.3,    180.811,    1517.881,   1510.954,
   27,       65.8,    181.018,    1538.247,   1532.051,
   28,       68.3,    180.963,    1558.056,   1552.148,
