Source DataFile                                            ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,
-----------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18C_2S_data.csv , 2023/03/14, 10:54:45,    1678802085363,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,    23.3612,     0.9767,    273.40,    858.56,   2420.08,    0.6452,    0.3030,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18C_2S_data.csv , 2023/03/14, 10:54:47,    1678802087807,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   121  ,    11.9053,     0.9666,    289.75,    965.84,   2151.25,    0.5510,    0.3370,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18C_2S_data.csv , 2023/03/14, 10:54:50,    1678802090237,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     6.6886,     0.9619,    308.30,    959.38,   2078.11,    0.5383,    0.4210,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18C_2S_data.csv , 2023/03/14, 10:54:52,    1678802092666,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    15.3930,     0.9712,    300.91,    920.40,   2168.34,    0.5755,    0.3830,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18C_2S_data.csv , 2023/03/14, 10:54:55,    1678802095129,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    11.9192,     0.9738,    297.69,    914.56,   2165.59,    0.5777,    0.3640,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18C_2S_data.csv , 2023/03/14, 10:54:57,    1678802097574,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,    13.1607,     0.9701,    302.99,    929.23,   2114.29,    0.5605,    0.3820,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18C_2S_data.csv , 2023/03/14, 10:55:00,    1678802100005,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,    13.7408,     0.9682,    304.67,    927.01,   2111.27,    0.5609,    0.3860,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18C_2S_data.csv , 2023/03/14, 10:55:02,    1678802102459,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,    13.8421,     0.9702,    303.17,    919.59,   2129.24,    0.5681,    0.3800,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18C_2S_data.csv , 2023/03/14, 10:55:05,    1678802104908,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    10.0686,     0.9688,    302.57,    921.44,   2122.76,    0.5659,    0.3880,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18C_2S_data.csv , 2023/03/14, 10:55:07,    1678802107350,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   121  ,    14.8834,     0.9713,    304.78,    924.82,   2116.33,    0.5630,    0.3830,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18C_2S_data.csv , 2023/03/14, 10:55:09,    1678802109778,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    12.8679,     0.9704,    304.32,    921.67,   2116.25,    0.5645,    0.3780,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18C_2S_data.csv , 2023/03/14, 10:55:12,    1678802112223,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     8.7999,     0.9687,    303.40,    920.03,   2117.44,    0.5655,    0.3880,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18C_2S_data.csv , 2023/03/14, 10:55:14,    1678802114652,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,    19.4731,     0.9723,    304.59,    923.01,   2118.12,    0.5642,    0.3810,
