----,
DateTime:        , 2023/09/18, 12:39:20, 1695051560393,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -2920.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      56,
Lamps:,        #10000,
Gain:,              1,       1, 
SNR_raw:,     209.82,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    284.108,
    1,        0.8,    517.553,     313.205,    306.956,
    2,        3.3,    537.953,     345.669,    340.692,
    3,        5.8,    540.975,     376.727,    379.020,
    4,        8.3,    540.219,     411.685,    418.376,
    5,       10.8,    540.219,     448.522,    456.835,
    6,       13.3,    541.353,     485.266,    493.410,
    7,       15.8,    541.730,     522.769,    527.635,
    8,       18.3,    540.975,     558.806,    559.327,
    9,       20.8,    541.730,     591.069,    588.436,
   10,       23.3,    543.242,     618.325,    615.039,
   11,       25.8,    542.864,     645.834,    639.309,
   12,       28.3,    542.864,     669.229,    661.360,
   13,       30.8,    544.753,     686.917,    681.296,
   14,       33.3,    544.375,     705.764,    699.371,
   15,       35.8,    543.997,     722.614,    715.711,
   16,       38.3,    543.242,     737.241,    730.467,
   17,       40.8,    542.486,     750.619,    743.766,
   18,       43.3,    543.619,     759.171,    755.659,
   19,       45.8,    542.864,     770.727,    766.386,
   20,       48.3,    543.242,     777.923,    775.991,
   21,       50.8,    543.619,     785.476,    784.592,
   22,       53.3,    543.997,     790.813,    792.293,
   23,       55.8,    543.242,     798.540,    799.241,
   24,       58.3,    541.730,     806.305,    805.530,
   25,       60.8,    543.997,     807.909,    811.009,
   26,       63.3,    543.997,     811.769,    815.936,
   27,       65.8,    543.242,     817.500,    820.397,
   28,       68.3,    542.108,     823.083,    824.439,
   29,       70.8,    543.242,     824.495,    827.963,
