----,
DateTime:        , 2023/09/18, 14:52:03, 1695059523015,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -2870.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      56,
Lamps:,        #10000,
Gain:,              1,       1, 
SNR_raw:,     138.22,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    246.558,
    1,        0.8,    519.680,     290.756,    283.189,
    2,        3.3,    540.287,     325.723,    322.947,
    3,        5.8,    541.037,     359.310,    362.713,
    4,        8.3,    541.786,     392.775,    401.205,
    5,       10.8,    541.786,     430.244,    437.597,
    6,       13.3,    542.161,     466.098,    471.442,
    7,       15.8,    541.786,     500.936,    502.502,
    8,       18.3,    541.786,     531.944,    530.728,
    9,       20.8,    542.910,     559.209,    556.183,
   10,       23.3,    542.910,     584.075,    578.983,
   11,       25.8,    542.910,     603.968,    599.291,
   12,       28.3,    542.535,     622.079,    617.298,
   13,       30.8,    543.285,     637.419,    633.195,
   14,       33.3,    541.411,     653.662,    647.213,
   15,       35.8,    543.659,     662.731,    659.480,
   16,       38.3,    542.161,     674.339,    670.255,
   17,       40.8,    543.285,     681.411,    679.649,
   18,       43.3,    541.786,     690.863,    687.881,
   19,       45.8,    541.411,     697.437,    695.058,
   20,       48.3,    544.034,     699.221,    701.231,
   21,       50.8,    542.535,     706.313,    706.648,
   22,       53.3,    540.662,     713.570,    711.405,
   23,       55.8,    542.910,     713.746,    715.455,
   24,       58.3,    542.910,     717.246,    718.972,
   25,       60.8,    542.161,     722.295,    722.048,
   26,       63.3,    541.786,     724.456,    724.722,
   27,       65.8,    542.910,     725.166,    726.997,
   28,       68.3,    542.535,     727.326,    728.984,
   29,       70.8,    544.034,     728.079,    730.653,
