----,
DateTime:        , 2023/09/18, 13:54:46, 1695056085961,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -2930.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      56,
Lamps:,        #10000,
Gain:,              1,       1, 
SNR_raw:,      97.40,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    130.942,
    1,        0.8,    517.150,     188.533,    171.815,
    2,        3.3,    540.845,     214.066,    210.561,
    3,        5.8,    540.469,     238.497,    245.460,
    4,        8.3,    539.717,     268.660,    276.748,
    5,       10.8,    541.221,     297.106,    304.788,
    6,       13.3,    542.349,     324.883,    329.820,
    7,       15.8,    540.845,     352.042,    352.044,
    8,       18.3,    541.221,     374.708,    371.777,
    9,       20.8,    541.597,     394.020,    389.264,
   10,       23.3,    541.597,     410.637,    404.733,
   11,       25.8,    541.221,     424.965,    418.398,
   12,       28.3,    541.597,     438.149,    430.458,
   13,       30.8,    542.726,     447.003,    441.092,
   14,       33.3,    542.726,     454.926,    450.459,
   15,       35.8,    543.854,     461.705,    458.700,
   16,       38.3,    541.221,     470.233,    465.969,
   17,       40.8,    541.973,     474.747,    472.352,
   18,       43.3,    542.726,     479.248,    477.955,
   19,       45.8,    541.597,     484.308,    482.890,
   20,       48.3,    543.102,     486.281,    487.205,
   21,       50.8,    543.102,     489.595,    490.995,
   22,       53.3,    544.230,     491.888,    494.308,
   23,       55.8,    542.726,     495.831,    497.239,
   24,       58.3,    543.102,     497.145,    499.804,
   25,       60.8,    541.597,     500.741,    502.078,
   26,       63.3,    541.973,     501.501,    504.064,
   27,       65.8,    541.973,     504.084,    505.805,
   28,       68.3,    541.221,     506.263,    507.343,
   29,       70.8,    543.854,     505.099,    508.644,
