Source DataFile                                          ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
---------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1002_4C_4s_data.csv , 2023/09/19, 12:06:54,    1695136014651,--Not Acquired--     ,--Not Acquired--     , -1170.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     2.2815,     0.9996,    230.32,    133.51,    380.13,    0.6488,    0.1120, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1002_4C_4s_data.csv , 2023/09/19, 12:06:59,    1695136019215,--Not Acquired--     ,--Not Acquired--     , -1130.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.6721,     0.9997,    230.18,    144.48,    366.91,    0.6062,    0.1560, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1002_4C_4s_data.csv , 2023/09/19, 12:07:03,    1695136023766,--Not Acquired--     ,--Not Acquired--     , -1160.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2681,     0.9996,    233.44,    144.38,    358.41,    0.5972,    0.2330,     72804,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1002_4C_4s_data.csv , 2023/09/19, 12:07:08,    1695136028306,--Not Acquired--     ,--Not Acquired--     , -1160.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.7975,     0.9998,    231.54,    139.14,    361.73,    0.6153,    0.1960, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1002_4C_4s_data.csv , 2023/09/19, 12:07:13,    1695136032848,--Not Acquired--     ,--Not Acquired--     , -1160.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.0728,     0.9998,    231.34,    136.70,    359.48,    0.6197,    0.2020, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1002_4C_4s_data.csv , 2023/09/19, 12:07:17,    1695136037404,--Not Acquired--     ,--Not Acquired--     , -1145.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.5811,     0.9998,    231.08,    137.96,    352.60,    0.6087,    0.2210, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1002_4C_4s_data.csv , 2023/09/19, 12:07:22,    1695136041984,--Not Acquired--     ,--Not Acquired--     , -1170.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2992,     0.9986,    232.01,    138.81,    349.78,    0.6032,    0.2650,     10194,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1002_4C_4s_data.csv , 2023/09/19, 12:07:26,    1695136046478,--Not Acquired--     ,--Not Acquired--     , -1160.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.4036,     0.9999,    230.44,    136.91,    350.84,    0.6098,    0.2550, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1002_4C_4s_data.csv , 2023/09/19, 12:07:31,    1695136051035,--Not Acquired--     ,--Not Acquired--     , -1145.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.4897,     0.9999,    230.11,    134.58,    351.28,    0.6169,    0.2450, 1.000e+07,    1.0000,
