----,
DateTime:        , 2023/09/19, 16:17:28, 1695151048597,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -1145.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      56,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,      91.93,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    110.997,
    1,        0.8,    510.087,     147.426,    140.064,
    2,        3.3,    539.387,     167.071,    167.705,
    3,        5.8,    540.067,     185.625,    192.315,
    4,        8.3,    540.171,     207.434,    214.034,
    5,       10.8,    540.615,     228.351,    233.080,
    6,       13.3,    540.807,     247.501,    249.680,
    7,       15.8,    541.117,     264.545,    264.076,
    8,       18.3,    541.472,     278.131,    276.508,
    9,       20.8,    541.620,     289.779,    287.202,
   10,       23.3,    541.783,     299.013,    296.372,
   11,       25.8,    541.872,     307.268,    304.214,
   12,       28.3,    541.960,     313.122,    310.905,
   13,       30.8,    542.271,     318.475,    316.602,
   14,       33.3,    542.345,     322.949,    321.444,
   15,       35.8,    542.700,     326.423,    325.553,
   16,       38.3,    542.804,     329.401,    329.037,
   17,       40.8,    542.730,     332.210,    331.987,
   18,       43.3,    542.685,     333.987,    334.485,
   19,       45.8,    542.670,     335.931,    336.596,
   20,       48.3,    542.848,     337.664,    338.379,
   21,       50.8,    542.877,     338.935,    339.884,
   22,       53.3,    542.981,     340.067,    341.154,
   23,       55.8,    542.951,     340.822,    342.226,
   24,       58.3,    543.011,     342.443,    343.129,
   25,       60.8,    542.937,     342.950,    343.892,
   26,       63.3,    543.144,     343.371,    344.532,
   27,       65.8,    543.232,     343.776,    345.071,
   28,       68.3,    543.218,     344.153,    345.525,
   29,       70.8,    543.158,     344.651,    345.909,
