----,
DateTime:        , 2023/09/20, 15:55:39, 1695236139487,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -1190.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      56,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,     166.31,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     82.169,
    1,        0.8,    510.248,      97.502,     94.589,
    2,        3.3,    539.432,     108.560,    107.839,
    3,        5.8,    539.860,     119.012,    120.730,
    4,        8.3,    540.303,     130.205,    132.945,
    5,       10.8,    540.540,     141.618,    144.332,
    6,       13.3,    540.954,     152.786,    154.842,
    7,       15.8,    541.042,     164.590,    164.476,
    8,       18.3,    541.441,     174.257,    173.271,
    9,       20.8,    541.559,     183.452,    181.276,
   10,       23.3,    541.648,     191.268,    188.548,
   11,       25.8,    541.840,     198.490,    195.145,
   12,       28.3,    542.106,     204.296,    201.125,
   13,       30.8,    542.180,     209.525,    206.543,
   14,       33.3,    542.416,     214.411,    211.449,
   15,       35.8,    542.653,     218.003,    215.891,
   16,       38.3,    542.668,     221.498,    219.911,
   17,       40.8,    542.727,     224.975,    223.550,
   18,       43.3,    542.638,     228.145,    226.842,
   19,       45.8,    542.919,     229.869,    229.820,
   20,       48.3,    542.712,     231.983,    232.516,
   21,       50.8,    542.875,     234.216,    234.954,
   22,       53.3,    542.875,     236.150,    237.159,
   23,       55.8,    543.037,     237.553,    239.154,
   24,       58.3,    543.007,     239.315,    240.959,
   25,       60.8,    543.067,     240.486,    242.591,
   26,       63.3,    543.037,     241.880,    244.068,
   27,       65.8,    543.126,     243.222,    245.404,
   28,       68.3,    543.052,     244.360,    246.613,
   29,       70.8,    543.111,     245.530,    247.706,
