----,
DateTime:        , 2023/09/18, 13:46:19, 1695055579732,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -2955.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,              1,       1, 
SNR_raw:,     152.25,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    188.809,
    1,        0.8,    517.471,     222.672,    215.856,
    2,        3.3,    540.371,     249.249,    247.407,
    3,        5.8,    541.121,     274.664,    279.910,
    4,        8.3,    540.746,     304.443,    311.682,
    5,       10.8,    542.623,     334.167,    341.841,
    6,       13.3,    541.497,     365.702,    369.881,
    7,       15.8,    542.623,     394.982,    395.621,
    8,       18.3,    542.248,     421.259,    419.040,
    9,       20.8,    543.749,     442.900,    440.201,
   10,       23.3,    543.749,     464.417,    459.249,
   11,       25.8,    543.749,     482.256,    476.333,
   12,       28.3,    542.248,     499.083,    491.636,
   13,       30.8,    543.749,     511.130,    505.256,
   14,       33.3,    543.374,     522.709,    517.408,
   15,       35.8,    542.998,     534.120,    528.233,
   16,       38.3,    542.623,     542.414,    537.866,
   17,       40.8,    542.998,     548.853,    546.410,
   18,       43.3,    544.125,     555.252,    553.966,
   19,       45.8,    543.374,     561.357,    560.705,
   20,       48.3,    542.248,     568.424,    566.720,
   21,       50.8,    543.374,     572.031,    572.006,
   22,       53.3,    544.125,     574.366,    576.671,
   23,       55.8,    543.749,     578.808,    580.830,
   24,       58.3,    542.998,     582.739,    584.544,
   25,       60.8,    543.749,     585.429,    587.801,
   26,       63.3,    542.623,     589.777,    590.733,
   27,       65.8,    543.374,     591.354,    593.291,
   28,       68.3,    545.626,     591.479,    595.474,
   29,       70.8,    542.998,     595.631,    597.532,
