Source DataFile                                                    ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
-------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_12C_1s_DecayRef_data.csv , 2023/09/19, 15:17:35,    1695147455119,--Not Acquired--     ,--Not Acquired--     , -1139.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.7148,     0.9892,    252.02,    327.37,   1077.38,    0.6961,    0.1490,      1316,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_12C_1s_DecayRef_data.csv , 2023/09/19, 15:17:36,    1695147456613,--Not Acquired--     ,--Not Acquired--     , -1133.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0220,     0.9865,    256.40,    389.36,   1021.19,    0.6187,    0.2910,       836,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_12C_1s_DecayRef_data.csv , 2023/09/19, 15:17:38,    1695147458110,--Not Acquired--     ,--Not Acquired--     , -1129.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0263,     0.9849,    256.82,    375.50,   1020.77,    0.6321,    0.3160,       715,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_12C_1s_DecayRef_data.csv , 2023/09/19, 15:17:39,    1695147459604,--Not Acquired--     ,--Not Acquired--     , -1138.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0759,     0.9872,    261.25,    350.75,   1020.27,    0.6562,    0.3030,       850,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_12C_1s_DecayRef_data.csv , 2023/09/19, 15:17:41,    1695147461094,--Not Acquired--     ,--Not Acquired--     , -1135.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0370,     0.9873,    262.07,    359.98,   1001.46,    0.6405,    0.3280,       816,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_12C_1s_DecayRef_data.csv , 2023/09/19, 15:17:42,    1695147462581,--Not Acquired--     ,--Not Acquired--     , -1130.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0286,     0.9855,    258.63,    369.42,   1009.35,    0.6340,    0.3210,       737,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_12C_1s_DecayRef_data.csv , 2023/09/19, 15:17:44,    1695147464094,--Not Acquired--     ,--Not Acquired--     , -1137.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0365,     0.9866,    262.22,    363.24,   1009.74,    0.6403,    0.3250,       780,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_12C_1s_DecayRef_data.csv , 2023/09/19, 15:17:45,    1695147465594,--Not Acquired--     ,--Not Acquired--     , -1125.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0393,     0.9873,    262.73,    360.60,   1005.52,    0.6414,    0.3250,       817,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_12C_1s_DecayRef_data.csv , 2023/09/19, 15:17:47,    1695147467098,--Not Acquired--     ,--Not Acquired--     , -1143.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0351,     0.9869,    260.91,    365.21,   1005.78,    0.6369,    0.3230,       804,    1.0000,
