Source DataFile                                                            ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
---------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230919_MaPo1001_4C_1s_DecayRef_data.csv , 2023/09/19, 11:41:55,    1695134515588,--Not Acquired--     ,--Not Acquired--     , -1182.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.4654,     0.9871,    203.52,    219.63,    690.13,    0.6818,    0.0260,      1873,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230919_MaPo1001_4C_1s_DecayRef_data.csv , 2023/09/19, 11:41:57,    1695134517110,--Not Acquired--     ,--Not Acquired--     , -1182.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.0959,     0.9856,    207.70,    248.80,    654.69,    0.6200,    0.1500,      1271,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230919_MaPo1001_4C_1s_DecayRef_data.csv , 2023/09/19, 11:41:58,    1695134518614,--Not Acquired--     ,--Not Acquired--     , -1187.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0973,     0.9849,    211.79,    240.41,    646.71,    0.6283,    0.1990,      1084,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230919_MaPo1001_4C_1s_DecayRef_data.csv , 2023/09/19, 11:42:00,    1695134520138,--Not Acquired--     ,--Not Acquired--     , -1189.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2759,     0.9849,    209.70,    222.95,    655.05,    0.6596,    0.1540,      1182,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230919_MaPo1001_4C_1s_DecayRef_data.csv , 2023/09/19, 11:42:01,    1695134521670,--Not Acquired--     ,--Not Acquired--     , -1182.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.1873,     0.9848,    209.56,    225.70,    640.94,    0.6479,    0.1800,      1125,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230919_MaPo1001_4C_1s_DecayRef_data.csv , 2023/09/19, 11:42:03,    1695134523173,--Not Acquired--     ,--Not Acquired--     , -1198.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0705,     0.9841,    211.89,    235.05,    632.42,    0.6283,    0.2290,       981,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230919_MaPo1001_4C_1s_DecayRef_data.csv , 2023/09/19, 11:42:04,    1695134524718,--Not Acquired--     ,--Not Acquired--     , -1185.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.1082,     0.9842,    213.41,    231.04,    635.15,    0.6362,    0.2220,       985,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230919_MaPo1001_4C_1s_DecayRef_data.csv , 2023/09/19, 11:42:06,    1695134526202,--Not Acquired--     ,--Not Acquired--     , -1195.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.1581,     0.9847,    212.83,    227.10,    638.19,    0.6441,    0.2090,      1042,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230919_MaPo1001_4C_1s_DecayRef_data.csv , 2023/09/19, 11:42:07,    1695134527712,--Not Acquired--     ,--Not Acquired--     , -1189.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1079,     0.9843,    212.12,    229.21,    633.68,    0.6383,    0.2220,      1004,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230919_MaPo1001_4C_1s_DecayRef_data.csv , 2023/09/19, 11:42:09,    1695134529219,--Not Acquired--     ,--Not Acquired--     , -1195.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.0928,     0.9842,    213.21,    231.39,    631.95,    0.6338,    0.2270,       981,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230919_MaPo1001_4C_1s_DecayRef_data.csv , 2023/09/19, 11:42:10,    1695134530743,--Not Acquired--     ,--Not Acquired--     , -1191.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1216,     0.9843,    213.17,    229.74,    634.37,    0.6378,    0.2230,       993,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230919_MaPo1001_4C_1s_DecayRef_data.csv , 2023/09/19, 11:42:12,    1695134532249,--Not Acquired--     ,--Not Acquired--     , -1198.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1277,     0.9844,    212.61,    228.94,    634.88,    0.6394,    0.2200,      1006,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230919_MaPo1001_4C_1s_DecayRef_data.csv , 2023/09/19, 11:42:13,    1695134533770,--Not Acquired--     ,--Not Acquired--     , -1185.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0945,     0.9841,    213.00,    229.70,    634.49,    0.6380,    0.2200,       983,    1.0000,
