----,
DateTime:        , 2023/09/19, 13:38:05, 1695141485071,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -1169.50,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,     160.29,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    236.296,
    1,        0.8,    510.649,     272.632,    265.856,
    2,        3.3,    540.172,     300.268,    298.929,
    3,        5.8,    540.874,     326.360,    332.082,
    4,        8.3,    540.799,     357.100,    363.995,
    5,       10.8,    541.277,     387.638,    393.975,
    6,       13.3,    541.531,     417.833,    421.678,
    7,       15.8,    542.008,     445.878,    446.996,
    8,       18.3,    542.113,     471.893,    469.955,
    9,       20.8,    542.217,     494.671,    490.658,
   10,       23.3,    542.486,     514.427,    509.252,
   11,       25.8,    542.620,     531.531,    525.904,
   12,       28.3,    542.784,     547.122,    540.784,
   13,       30.8,    543.023,     559.404,    554.060,
   14,       33.3,    543.143,     571.156,    565.891,
   15,       35.8,    543.307,     580.739,    576.425,
   16,       38.3,    543.322,     589.373,    585.800,
   17,       40.8,    543.456,     596.772,    594.136,
   18,       43.3,    543.411,     603.538,    601.551,
   19,       45.8,    543.456,     609.377,    608.140,
   20,       48.3,    543.710,     613.874,    613.988,
   21,       50.8,    543.575,     619.177,    619.190,
   22,       53.3,    543.516,     622.557,    623.813,
   23,       55.8,    543.516,     626.696,    627.918,
   24,       58.3,    543.740,     629.749,    631.556,
   25,       60.8,    543.859,     632.828,    634.784,
   26,       63.3,    543.859,     635.311,    637.653,
   27,       65.8,    543.799,     638.231,    640.203,
   28,       68.3,    543.829,     640.310,    642.467,
   29,       70.8,    543.844,     642.407,    644.477,
