Source DataFile                                                             ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
----------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:22:57,    1695234176871,--Not Acquired--     ,--Not Acquired--     , -1198.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.7540,     0.9813,    185.46,    100.11,    348.31,    0.7126,    0.0000,      1549,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:22:58,    1695234178379,--Not Acquired--     ,--Not Acquired--     , -1182.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1114,     0.9783,    192.80,    120.21,    313.92,    0.6171,    0.0220,      1128,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:00,    1695234179874,--Not Acquired--     ,--Not Acquired--     , -1187.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0620,     0.9802,    201.98,    121.62,    305.74,    0.6022,    0.1670,       913,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:01,    1695234181404,--Not Acquired--     ,--Not Acquired--     , -1183.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2200,     0.9770,    194.06,    111.98,    317.41,    0.6472,    0.0510,       996,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:03,    1695234182878,--Not Acquired--     ,--Not Acquired--     , -1176.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1842,     0.9781,    195.77,    112.41,    311.70,    0.6394,    0.0780,       987,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:04,    1695234184387,--Not Acquired--     ,--Not Acquired--     , -1194.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1153,     0.9798,    202.03,    118.04,    306.57,    0.6150,    0.1500,       917,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:06,    1695234185899,--Not Acquired--     ,--Not Acquired--     , -1188.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1530,     0.9788,    201.56,    114.50,    309.54,    0.6301,    0.1120,       930,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:07,    1695234187399,--Not Acquired--     ,--Not Acquired--     , -1188.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1687,     0.9801,    199.46,    114.81,    308.85,    0.6283,    0.1070,      1021,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:09,    1695234188899,--Not Acquired--     ,--Not Acquired--     , -1190.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1699,     0.9792,    200.50,    114.64,    307.70,    0.6274,    0.1100,       960,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:10,    1695234190385,--Not Acquired--     ,--Not Acquired--     , -1183.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1381,     0.9794,    200.73,    114.53,    307.56,    0.6276,    0.1160,       955,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:12,    1695234191905,--Not Acquired--     ,--Not Acquired--     , -1188.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1718,     0.9792,    200.42,    114.74,    308.52,    0.6281,    0.1010,       972,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:13,    1695234193409,--Not Acquired--     ,--Not Acquired--     , -1175.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1512,     0.9792,    200.48,    114.95,    308.73,    0.6277,    0.1270,       935,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:15,    1695234194910,--Not Acquired--     ,--Not Acquired--     , -1194.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1428,     0.9798,    200.18,    114.44,    307.65,    0.6280,    0.1140,       987,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:16,    1695234196421,--Not Acquired--     ,--Not Acquired--     , -1184.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1588,     0.9794,    200.46,    113.80,    307.80,    0.6303,    0.1050,       977,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:18,    1695234197931,--Not Acquired--     ,--Not Acquired--     , -1184.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1307,     0.9795,    200.04,    114.33,    308.26,    0.6291,    0.1190,       964,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:19,    1695234199434,--Not Acquired--     ,--Not Acquired--     , -1178.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1572,     0.9793,    199.81,    113.87,    308.32,    0.6307,    0.1080,       973,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:21,    1695234200944,--Not Acquired--     ,--Not Acquired--     , -1187.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1645,     0.9793,    201.37,    113.53,    308.54,    0.6320,    0.1120,       954,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:22,    1695234202455,--Not Acquired--     ,--Not Acquired--     , -1201.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1557,     0.9803,    201.83,    114.37,    308.17,    0.6289,    0.1240,       983,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:24,    1695234203983,--Not Acquired--     ,--Not Acquired--     , -1181.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1673,     0.9793,    200.49,    113.92,    308.77,    0.6311,    0.1130,       959,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:25,    1695234205518,--Not Acquired--     ,--Not Acquired--     , -1178.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1666,     0.9794,    199.99,    113.36,    308.33,    0.6323,    0.1100,       974,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:27,    1695234207032,--Not Acquired--     ,--Not Acquired--     , -1185.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1741,     0.9802,    199.48,    113.73,    307.51,    0.6302,    0.1040,      1029,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:28,    1695234208541,--Not Acquired--     ,--Not Acquired--     , -1180.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1531,     0.9797,    200.97,    113.36,    308.27,    0.6323,    0.1130,       979,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:30,    1695234210057,--Not Acquired--     ,--Not Acquired--     , -1196.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1643,     0.9801,    199.61,    114.40,    307.28,    0.6277,    0.1070,      1020,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:31,    1695234211566,--Not Acquired--     ,--Not Acquired--     , -1182.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1619,     0.9804,    200.71,    113.30,    307.14,    0.6311,    0.1000,      1041,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:33,    1695234213080,--Not Acquired--     ,--Not Acquired--     , -1181.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1455,     0.9794,    199.86,    113.36,    308.24,    0.6322,    0.1040,       982,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:34,    1695234214602,--Not Acquired--     ,--Not Acquired--     , -1185.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1690,     0.9792,    200.74,    113.27,    308.54,    0.6329,    0.1070,       963,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:36,    1695234216113,--Not Acquired--     ,--Not Acquired--     , -1178.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1792,     0.9801,    200.49,    113.99,    307.69,    0.6295,    0.1140,      1001,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:37,    1695234217612,--Not Acquired--     ,--Not Acquired--     , -1190.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1706,     0.9805,    199.48,    114.36,    306.71,    0.6271,    0.1050,      1048,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:39,    1695234219130,--Not Acquired--     ,--Not Acquired--     , -1181.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1645,     0.9796,    198.65,    113.13,    307.19,    0.6317,    0.0970,      1014,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:40,    1695234220646,--Not Acquired--     ,--Not Acquired--     , -1182.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1522,     0.9796,    201.63,    113.32,    307.95,    0.6320,    0.1130,       965,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1005_12C_1s_DecayRef_data.csv , 2023/09/20, 15:23:42,    1695234222156,--Not Acquired--     ,--Not Acquired--     , -1186.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1574,     0.9792,    199.07,    113.17,    307.16,    0.6316,    0.1010,       983,    1.0000,
