----,
DateTime:        , 2023/09/19, 15:19:37, 1695147577603,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -1136.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,     112.73,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    320.822,
    1,        0.8,    510.620,     381.872,    371.631,
    2,        3.3,    540.059,     428.720,    427.554,
    3,        5.8,    540.609,     472.970,    483.141,
    4,        8.3,    540.965,     524.787,    536.419,
    5,       10.8,    541.306,     577.568,    586.234,
    6,       13.3,    541.707,     629.014,    631.984,
    7,       15.8,    541.841,     675.552,    673.429,
    8,       18.3,    541.989,     716.604,    710.582,
    9,       20.8,    542.271,     752.467,    743.612,
   10,       23.3,    542.405,     782.978,    772.781,
   11,       25.8,    542.568,     808.085,    798.399,
   12,       28.3,    543.014,     829.153,    820.792,
   13,       30.8,    542.969,     847.638,    840.303,
   14,       33.3,    543.340,     862.703,    857.238,
   15,       35.8,    543.400,     875.859,    871.908,
   16,       38.3,    543.415,     887.612,    884.588,
   17,       40.8,    543.355,     896.727,    895.530,
   18,       43.3,    543.340,     904.206,    904.956,
   19,       45.8,    543.726,     911.748,    913.048,
   20,       48.3,    543.489,     917.575,    920.014,
   21,       50.8,    543.429,     923.011,    925.997,
   22,       53.3,    543.563,     927.568,    931.122,
   23,       55.8,    543.385,     932.841,    935.524,
   24,       58.3,    543.830,     935.478,    939.272,
   25,       60.8,    543.815,     938.722,    942.486,
   26,       63.3,    543.801,     941.874,    945.239,
   27,       65.8,    544.023,     944.245,    947.585,
   28,       68.3,    543.979,     947.080,    949.597,
   29,       70.8,    544.038,     948.723,    951.315,
