Source DataFile                                           ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
----------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_8C_RLC_data.csv , 2023/09/19, 13:39:51,    1695141591344,--Not Acquired--     ,--Not Acquired--     , -1188.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.5060,     0.9872,    214.82,    240.17,    726.88,    0.6696,    0.0390,      1646,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_8C_RLC_data.csv , 2023/09/19, 13:40:02,    1695141601881,--Not Acquired--     ,--Not Acquired--     , -1177.50,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3516,     0.9607,    143.27,    345.29,    612.03,    0.4358,    0.0000,      1130,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_8C_RLC_data.csv , 2023/09/19, 13:40:03,    1695141603386,--Not Acquired--     ,--Not Acquired--     , -1203.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0685,     0.9804,    193.17,    250.54,    573.38,    0.5630,    0.1170,      1071,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_8C_RLC_data.csv , 2023/09/19, 13:40:14,    1695141613884,--Not Acquired--     ,--Not Acquired--     , -1191.50,     0.0000,      0.0000,  NO DATA,    '10000,     30.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.5683,     0.9540,    132.08,    334.58,    549.68,    0.3913,    0.0000,      1152,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_8C_RLC_data.csv , 2023/09/19, 13:40:15,    1695141615409,--Not Acquired--     ,--Not Acquired--     , -1214.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1256,     0.9749,    169.06,    246.92,    532.56,    0.5364,    0.0000,      1330,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_8C_RLC_data.csv , 2023/09/19, 13:40:26,    1695141625919,--Not Acquired--     ,--Not Acquired--     , -1180.50,     0.0000,      0.0000,  NO DATA,    '10000,     50.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.1846,     0.9540,    127.05,    329.25,    520.19,    0.3671,    0.0000,      1368,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_8C_RLC_data.csv , 2023/09/19, 13:40:27,    1695141627416,--Not Acquired--     ,--Not Acquired--     , -1212.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2252,     0.9760,    164.26,    243.10,    515.44,    0.5284,    0.0000,      1557,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_8C_RLC_data.csv , 2023/09/19, 13:40:38,    1695141637928,--Not Acquired--     ,--Not Acquired--     , -1176.50,     0.0000,      0.0000,  NO DATA,    '10000,    100.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.5204,     0.9417,    117.32,    354.03,    491.64,    0.2799,    0.0000,      1192,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_8C_RLC_data.csv , 2023/09/19, 13:40:39,    1695141639430,--Not Acquired--     ,--Not Acquired--     , -1201.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.4649,     0.9756,    158.34,    240.21,    481.29,    0.5009,    0.0000,      1723,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_8C_RLC_data.csv , 2023/09/19, 13:40:50,    1695141649934,--Not Acquired--     ,--Not Acquired--     , -1165.50,     0.0000,      0.0000,  NO DATA,    '10000,    120.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.4967,     0.9286,    106.58,    352.92,    492.94,    0.2841,    0.0000,      1184,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_8C_RLC_data.csv , 2023/09/19, 13:40:51,    1695141651452,--Not Acquired--     ,--Not Acquired--     , -1200.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.5733,     0.9752,    152.58,    244.25,    489.63,    0.5012,    0.0000,      1949,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_8C_RLC_data.csv , 2023/09/19, 13:41:02,    1695141661969,--Not Acquired--     ,--Not Acquired--     , -1151.50,     0.0000,      0.0000,  NO DATA,    '10000,    150.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.4583,     0.9224,    101.77,    362.42,    493.37,    0.2654,    0.0000,      1220,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_8C_RLC_data.csv , 2023/09/19, 13:41:03,    1695141663470,--Not Acquired--     ,--Not Acquired--     , -1210.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.7570,     0.9752,    149.89,    245.85,    486.96,    0.4951,    0.0000,      2134,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_8C_RLC_data.csv , 2023/09/19, 13:41:14,    1695141673965,--Not Acquired--     ,--Not Acquired--     , -1145.50,     0.0000,      0.0000,  NO DATA,    '10000,    200.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.5871,     0.8865,     84.60,    377.10,    496.91,    0.2411,    0.0000,      1150,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_8C_RLC_data.csv , 2023/09/19, 13:41:15,    1695141675444,--Not Acquired--     ,--Not Acquired--     , -1205.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.0339,     0.9734,    146.73,    240.76,    468.20,    0.4858,    0.0000,      2065,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_8C_RLC_data.csv , 2023/09/19, 13:41:26,    1695141685964,--Not Acquired--     ,--Not Acquired--     , -1106.50,     0.0000,      0.0000,  NO DATA,    '10000,    300.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.5973,     0.8551,     75.51,    378.18,    471.05,    0.1972,    0.0000,       985,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_8C_RLC_data.csv , 2023/09/19, 13:41:27,    1695141687461,--Not Acquired--     ,--Not Acquired--     , -1206.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.2753,     0.9733,    148.09,    233.14,    441.55,    0.4720,    0.0000,      1962,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_8C_RLC_data.csv , 2023/09/19, 13:41:38,    1695141697969,--Not Acquired--     ,--Not Acquired--     , -1083.00,     0.0000,      0.0000,  NO DATA,    '10000,    400.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.4052,     0.8192,     66.78,    374.57,    451.32,    0.1701,    0.0000,       894,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_8C_RLC_data.csv , 2023/09/19, 13:41:39,    1695141699481,--Not Acquired--     ,--Not Acquired--     , -1220.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.2117,     0.9739,    149.11,    227.68,    419.99,    0.4579,    0.0000,      1984,    1.0000,
