----,
DateTime:        , 2023/09/19, 16:23:37, 1695151417756,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -1201.50,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,      94.91,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    116.299,
    1,        0.8,    510.597,     141.886,    138.376,
    2,        3.3,    540.177,     160.623,    160.925,
    3,        5.8,    540.577,     178.322,    182.211,
    4,        8.3,    541.050,     198.127,    201.900,
    5,       10.8,    541.257,     217.728,    219.804,
    6,       13.3,    541.642,     236.405,    235.865,
    7,       15.8,    542.056,     251.997,    250.107,
    8,       18.3,    542.100,     265.812,    262.608,
    9,       20.8,    542.426,     276.806,    273.493,
   10,       23.3,    542.692,     285.976,    282.904,
   11,       25.8,    542.692,     293.715,    290.992,
   12,       28.3,    542.958,     300.846,    297.908,
   13,       30.8,    543.017,     305.233,    303.797,
   14,       33.3,    543.135,     309.953,    308.794,
   15,       35.8,    543.416,     313.657,    313.019,
   16,       38.3,    543.476,     316.567,    316.583,
   17,       40.8,    543.461,     319.336,    319.585,
   18,       43.3,    543.535,     321.132,    322.107,
   19,       45.8,    543.505,     323.542,    324.223,
   20,       48.3,    543.431,     325.058,    325.998,
   21,       50.8,    543.697,     326.554,    327.480,
   22,       53.3,    543.594,     327.628,    328.721,
   23,       55.8,    543.727,     328.927,    329.757,
   24,       58.3,    543.831,     329.600,    330.620,
   25,       60.8,    543.816,     330.896,    331.341,
   26,       63.3,    543.638,     331.464,    331.945,
   27,       65.8,    543.890,     332.230,    332.445,
   28,       68.3,    543.875,     333.342,    332.863,
   29,       70.8,    543.905,     333.600,    333.210,
