Source DataFile                                            ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
-----------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_12C_LRC_data.csv , 2023/09/19, 16:23:37,    1695151417756,--Not Acquired--     ,--Not Acquired--     , -1201.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.6429,     0.9900,    282.03,    116.30,    376.44,    0.6911,    0.1570,      1234,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_12C_LRC_data.csv , 2023/09/19, 16:23:48,    1695151428257,--Not Acquired--     ,--Not Acquired--     , -1191.00,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1646,     0.9742,    190.58,    166.31,    316.08,    0.4738,    0.0000,       982,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_12C_LRC_data.csv , 2023/09/19, 16:23:49,    1695151429771,--Not Acquired--     ,--Not Acquired--     , -1187.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0288,     0.9851,    251.41,    128.50,    304.08,    0.5774,    0.2160,       867,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_12C_LRC_data.csv , 2023/09/19, 16:24:00,    1695151440309,--Not Acquired--     ,--Not Acquired--     , -1200.00,     0.0000,      0.0000,  NO DATA,    '10000,     30.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2912,     0.9795,    205.77,    172.06,    322.75,    0.4669,    0.0000,      1118,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_12C_LRC_data.csv , 2023/09/19, 16:24:01,    1695151441810,--Not Acquired--     ,--Not Acquired--     , -1190.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1183,     0.9871,    252.61,    129.33,    323.51,    0.6002,    0.0770,      1215,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_12C_LRC_data.csv , 2023/09/19, 16:24:12,    1695151452312,--Not Acquired--     ,--Not Acquired--     , -1181.00,     0.0000,      0.0000,  NO DATA,    '10000,     50.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.7189,     0.9806,    206.60,    181.80,    324.22,    0.4393,    0.0000,      1180,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_12C_LRC_data.csv , 2023/09/19, 16:24:13,    1695151453804,--Not Acquired--     ,--Not Acquired--     , -1199.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1854,     0.9881,    254.51,    129.29,    330.86,    0.6092,    0.0150,      1422,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_12C_LRC_data.csv , 2023/09/19, 16:24:24,    1695151464318,--Not Acquired--     ,--Not Acquired--     , -1166.00,     0.0000,      0.0000,  NO DATA,    '10000,    100.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.5674,     0.9531,    158.03,    193.41,    280.59,    0.3107,    0.0000,       676,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_12C_LRC_data.csv , 2023/09/19, 16:24:26,    1695151465828,--Not Acquired--     ,--Not Acquired--     , -1188.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3736,     0.9828,    208.44,    125.17,    270.34,    0.5370,    0.0000,      1329,    1.0000,
