Source DataFile                                                      ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
---------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_4S_data.csv , 2023/09/13, 10:50:30,    1694613030668,--Not Acquired--     ,--Not Acquired--     , -1110.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     7.9102,     0.9978,    198.32,    402.43,   1613.54,    0.7506,    0.0160, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_4S_data.csv , 2023/09/13, 10:50:35,    1694613035247,--Not Acquired--     ,--Not Acquired--     , -1055.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.6337,     0.9998,    204.14,    500.19,   1410.06,    0.6453,    0.2830, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_4S_data.csv , 2023/09/13, 10:50:40,    1694613039823,--Not Acquired--     ,--Not Acquired--     , -1005.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1130,     0.9999,    208.74,    495.55,   1373.85,    0.6393,    0.3680, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_4S_data.csv , 2023/09/13, 10:50:44,    1694613044407,--Not Acquired--     ,--Not Acquired--     , -1045.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.8360,     0.9999,    211.79,    466.09,   1434.96,    0.6752,    0.3370, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_4S_data.csv , 2023/09/13, 10:50:49,    1694613048969,--Not Acquired--     ,--Not Acquired--     , -1020.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     3.4169,     0.9999,    210.06,    461.80,   1441.65,    0.6797,    0.3070, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_4S_data.csv , 2023/09/13, 10:50:53,    1694613053544,--Not Acquired--     ,--Not Acquired--     , -1045.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.6936,     0.9999,    210.70,    474.77,   1393.52,    0.6593,    0.3410, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_4S_data.csv , 2023/09/13, 10:50:58,    1694613058131,--Not Acquired--     ,--Not Acquired--     , -1040.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.4243,     0.9999,    212.17,    477.86,   1391.04,    0.6565,    0.3560, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_4S_data.csv , 2023/09/13, 10:51:02,    1694613062711,--Not Acquired--     ,--Not Acquired--     , -1035.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.3490,     0.9999,    211.81,    471.37,   1417.81,    0.6675,    0.3330, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_4S_data.csv , 2023/09/13, 10:51:07,    1694613067276,--Not Acquired--     ,--Not Acquired--     , -1045.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.5494,     0.9999,    210.56,    471.66,   1420.80,    0.6680,    0.3230, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_4S_data.csv , 2023/09/13, 10:51:12,    1694613071866,--Not Acquired--     ,--Not Acquired--     , -1075.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.8652,     0.9999,    210.87,    475.45,   1407.74,    0.6623,    0.3360, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_4S_data.csv , 2023/09/13, 10:51:16,    1694613076435,--Not Acquired--     ,--Not Acquired--     , -1050.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.7729,     0.9999,    211.56,    476.06,   1405.77,    0.6614,    0.3410, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_4S_data.csv , 2023/09/13, 10:51:21,    1694613081020,--Not Acquired--     ,--Not Acquired--     , -1060.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.0417,     0.9999,    211.24,    474.69,   1411.71,    0.6637,    0.3340, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_4S_data.csv , 2023/09/13, 10:51:25,    1694613085603,--Not Acquired--     ,--Not Acquired--     , -1055.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.1913,     0.9999,    211.15,    474.72,   1412.70,    0.6640,    0.3320, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_4S_data.csv , 2023/09/13, 10:51:30,    1694613090185,--Not Acquired--     ,--Not Acquired--     , -1050.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.9377,     0.9999,    211.31,    475.51,   1409.96,    0.6627,    0.3340, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_4S_data.csv , 2023/09/13, 10:51:34,    1694613094783,--Not Acquired--     ,--Not Acquired--     , -1045.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.8188,     0.9999,    211.48,    475.38,   1410.09,    0.6629,    0.3380, 1.000e+07,    1.0000,
