----,
DateTime:        , 2023/09/13, 10:09:14, 1694610554363,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -1110.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      56,
Lamps:,        #10000,
Gain:,              2,      10, 
SNR_raw:,     177.16,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    372.960,
    1,        0.8,    512.509,     495.211,    440.826,
    2,        3.3,    539.659,     555.396,    522.776,
    3,        5.8,    540.074,     612.509,    607.861,
    4,        8.3,    540.375,     678.881,    691.173,
    5,       10.8,    540.714,     751.137,    770.202,
    6,       13.3,    540.563,     826.915,    843.783,
    7,       15.8,    541.053,     901.761,    911.538,
    8,       18.3,    541.392,     973.233,    973.500,
    9,       20.8,    541.655,    1038.391,   1029.920,
   10,       23.3,    541.881,    1097.289,   1081.148,
   11,       25.8,    541.881,    1149.330,   1127.582,
   12,       28.3,    541.919,    1194.736,   1169.615,
   13,       30.8,    542.220,    1233.540,   1207.625,
   14,       33.3,    542.258,    1267.847,   1241.995,
   15,       35.8,    542.408,    1297.085,   1273.053,
   16,       38.3,    542.634,    1322.161,   1301.110,
   17,       40.8,    542.597,    1344.737,   1326.469,
   18,       43.3,    542.634,    1364.086,   1349.377,
   19,       45.8,    542.936,    1381.011,   1370.051,
   20,       48.3,    542.747,    1396.506,   1388.747,
   21,       50.8,    542.559,    1410.538,   1405.647,
   22,       53.3,    543.049,    1421.604,   1420.865,
   23,       55.8,    543.011,    1433.213,   1434.623,
   24,       58.3,    542.823,    1442.737,   1447.068,
   25,       60.8,    542.973,    1451.821,   1458.291,
   26,       63.3,    542.898,    1460.772,   1468.436,
   27,       65.8,    543.237,    1468.420,   1477.566,
   28,       68.3,    542.973,    1475.948,   1485.845,
