Source DataFile                                                      ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
---------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_22C_1S_data.csv , 2023/09/13, 09:45:01,    1694609101386,--Not Acquired--     ,--Not Acquired--     , -1140.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,    10.3613,     0.9966,    186.23,    366.64,   1764.91,    0.7923,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_22C_1S_data.csv , 2023/09/13, 09:45:03,    1694609102965,--Not Acquired--     ,--Not Acquired--     , -1040.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.6231,     0.9994,    201.69,    543.08,   1503.22,    0.6387,    0.2030, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_22C_1S_data.csv , 2023/09/13, 09:45:04,    1694609104578,--Not Acquired--     ,--Not Acquired--     , -1025.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0650,     0.9999,    214.07,    549.99,   1416.30,    0.6117,    0.3450, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_22C_1S_data.csv , 2023/09/13, 09:45:06,    1694609106188,--Not Acquired--     ,--Not Acquired--     , -1030.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.8795,     0.9999,    220.11,    508.03,   1440.61,    0.6474,    0.3490, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_22C_1S_data.csv , 2023/09/13, 09:45:07,    1694609107767,--Not Acquired--     ,--Not Acquired--     , -1030.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     3.9426,     0.9999,    216.63,    483.74,   1458.65,    0.6684,    0.2980, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_22C_1S_data.csv , 2023/09/13, 09:45:09,    1694609109376,--Not Acquired--     ,--Not Acquired--     , -1015.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.5840,     0.9999,    216.92,    498.19,   1398.76,    0.6438,    0.3510, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_22C_1S_data.csv , 2023/09/13, 09:45:11,    1694609110954,--Not Acquired--     ,--Not Acquired--     , -1025.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1781,     1.0000,    221.47,    507.03,   1385.26,    0.6340,    0.3750, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_22C_1S_data.csv , 2023/09/13, 09:45:12,    1694609112513,--Not Acquired--     ,--Not Acquired--     ,  -995.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.8370,     1.0000,    220.74,    499.33,   1408.20,    0.6454,    0.3560, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_22C_1S_data.csv , 2023/09/13, 09:45:14,    1694609114100,--Not Acquired--     ,--Not Acquired--     , -1015.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.5896,     0.9999,    219.06,    498.61,   1418.27,    0.6484,    0.3390, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_22C_1S_data.csv , 2023/09/13, 09:45:15,    1694609115689,--Not Acquired--     ,--Not Acquired--     , -1025.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.8985,     0.9999,    219.29,    503.36,   1410.66,    0.6432,    0.3450, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_22C_1S_data.csv , 2023/09/13, 09:45:17,    1694609117258,--Not Acquired--     ,--Not Acquired--     , -1015.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.6773,     0.9999,    220.11,    504.56,   1407.71,    0.6416,    0.3510, 1.000e+07,    1.0000,
