----,
DateTime:        , 2023/09/13, 10:26:29, 1694611589188,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -1153.50,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,              2,      10, 
SNR_raw:,     174.83,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    419.162,
    1,        0.8,    513.316,     484.336,    465.343,
    2,        3.3,    540.076,     542.681,    532.167,
    3,        5.8,    540.866,     598.054,    606.743,
    4,        8.3,    540.753,     662.534,    682.246,
    5,       10.8,    541.280,     731.169,    755.177,
    6,       13.3,    541.431,     804.013,    823.841,
    7,       15.8,    541.694,     875.249,    887.517,
    8,       18.3,    541.883,     942.580,    946.023,
    9,       20.8,    542.184,    1004.120,    999.452,
   10,       23.3,    542.372,    1059.730,   1048.051,
   11,       25.8,    542.259,    1108.728,   1092.139,
   12,       28.3,    542.823,    1150.775,   1132.010,
   13,       30.8,    542.786,    1187.057,   1168.050,
   14,       33.3,    542.899,    1219.413,   1200.567,
   15,       35.8,    543.275,    1246.270,   1229.855,
   16,       38.3,    543.125,    1270.551,   1256.251,
   17,       40.8,    543.237,    1291.272,   1279.992,
   18,       43.3,    543.501,    1309.322,   1301.320,
   19,       45.8,    543.162,    1325.419,   1320.520,
   20,       48.3,    543.463,    1338.853,   1337.728,
   21,       50.8,    543.614,    1351.635,   1353.167,
   22,       53.3,    543.651,    1362.946,   1367.022,
   23,       55.8,    543.463,    1373.354,   1379.470,
   24,       58.3,    543.426,    1383.110,   1390.628,
   25,       60.8,    543.802,    1390.428,   1400.587,
   26,       63.3,    543.764,    1397.880,   1409.524,
   27,       65.8,    543.614,    1406.269,   1417.549,
   28,       68.3,    543.539,    1412.720,   1424.740,
