Source DataFile                                                           ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
--------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:26:29,    1694611589188,--Not Acquired--     ,--Not Acquired--     , -1153.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.4110,     0.9839,    187.90,    419.16,   1643.14,    0.7449,    0.0750,      1538,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:26:30,    1694611590704,--Not Acquired--     ,--Not Acquired--     , -1116.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0471,     0.9891,    207.48,    502.53,   1407.82,    0.6430,    0.2890,      1350,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:26:32,    1694611592226,--Not Acquired--     ,--Not Acquired--     , -1111.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0384,     0.9891,    216.49,    487.72,   1385.73,    0.6480,    0.3730,      1104,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:26:33,    1694611593740,--Not Acquired--     ,--Not Acquired--     , -1124.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2590,     0.9887,    211.12,    455.59,   1421.70,    0.6795,    0.3150,      1209,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:26:35,    1694611595260,--Not Acquired--     ,--Not Acquired--     , -1122.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1557,     0.9892,    213.36,    458.86,   1375.19,    0.6663,    0.3410,      1203,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:26:36,    1694611596787,--Not Acquired--     ,--Not Acquired--     , -1112.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0643,     0.9899,    218.42,    466.42,   1345.50,    0.6533,    0.3830,      1150,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:26:38,    1694611598297,--Not Acquired--     ,--Not Acquired--     , -1121.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1075,     0.9897,    217.32,    460.14,   1359.31,    0.6615,    0.3700,      1167,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:26:40,    1694611599798,--Not Acquired--     ,--Not Acquired--     , -1103.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1201,     0.9897,    215.80,    459.74,   1360.87,    0.6622,    0.3620,      1191,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:26:41,    1694611601345,--Not Acquired--     ,--Not Acquired--     , -1119.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0998,     0.9898,    216.77,    463.61,   1357.21,    0.6584,    0.3650,      1197,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:26:43,    1694611602850,--Not Acquired--     ,--Not Acquired--     , -1097.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1012,     0.9897,    216.68,    463.58,   1363.62,    0.6600,    0.3590,      1195,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:26:44,    1694611604377,--Not Acquired--     ,--Not Acquired--     , -1114.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1158,     0.9898,    215.85,    463.92,   1367.42,    0.6607,    0.3530,      1219,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:26:46,    1694611605891,--Not Acquired--     ,--Not Acquired--     , -1113.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1061,     0.9897,    215.80,    464.85,   1366.63,    0.6599,    0.3530,      1210,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:26:47,    1694611607408,--Not Acquired--     ,--Not Acquired--     , -1117.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1058,     0.9898,    216.10,    465.73,   1365.37,    0.6589,    0.3560,      1210,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:26:49,    1694611608920,--Not Acquired--     ,--Not Acquired--     , -1117.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1057,     0.9898,    216.16,    464.59,   1363.83,    0.6593,    0.3560,      1210,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:26:50,    1694611610448,--Not Acquired--     ,--Not Acquired--     , -1108.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1024,     0.9899,    216.48,    464.36,   1361.00,    0.6588,    0.3610,      1213,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:26:52,    1694611611954,--Not Acquired--     ,--Not Acquired--     , -1119.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1015,     0.9899,    216.89,    463.60,   1357.97,    0.6586,    0.3630,      1208,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:26:53,    1694611613460,--Not Acquired--     ,--Not Acquired--     , -1111.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1018,     0.9900,    217.09,    463.15,   1355.55,    0.6583,    0.3660,      1207,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:26:55,    1694611614962,--Not Acquired--     ,--Not Acquired--     , -1112.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1011,     0.9900,    217.14,    462.87,   1353.00,    0.6579,    0.3680,      1213,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:26:56,    1694611616490,--Not Acquired--     ,--Not Acquired--     , -1114.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0985,     0.9900,    217.40,    463.11,   1352.74,    0.6577,    0.3700,      1207,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:26:58,    1694611617989,--Not Acquired--     ,--Not Acquired--     , -1114.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1023,     0.9901,    217.65,    462.12,   1351.92,    0.6582,    0.3700,      1209,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:26:59,    1694611619530,--Not Acquired--     ,--Not Acquired--     , -1112.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1008,     0.9902,    217.44,    462.66,   1351.18,    0.6576,    0.3710,      1222,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:27:01,    1694611621061,--Not Acquired--     ,--Not Acquired--     , -1115.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1021,     0.9901,    217.75,    463.00,   1352.92,    0.6578,    0.3710,      1209,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:27:02,    1694611622573,--Not Acquired--     ,--Not Acquired--     , -1114.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1019,     0.9901,    217.59,    462.88,   1353.01,    0.6579,    0.3710,      1214,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:27:04,    1694611624090,--Not Acquired--     ,--Not Acquired--     , -1118.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0979,     0.9902,    217.51,    463.09,   1352.82,    0.6577,    0.3720,      1220,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:27:05,    1694611625620,--Not Acquired--     ,--Not Acquired--     , -1096.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0967,     0.9901,    217.78,    461.97,   1353.54,    0.6587,    0.3710,      1209,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:27:07,    1694611627120,--Not Acquired--     ,--Not Acquired--     , -1118.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0945,     0.9900,    217.76,    462.55,   1355.03,    0.6586,    0.3720,      1197,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:27:08,    1694611628646,--Not Acquired--     ,--Not Acquired--     , -1114.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1009,     0.9901,    217.86,    463.06,   1354.73,    0.6582,    0.3730,      1208,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_18C_1S_Ref_data.csv , 2023/09/13, 10:27:10,    1694611630173,--Not Acquired--     ,--Not Acquired--     , -1104.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0975,     0.9901,    217.89,    462.08,   1355.65,    0.6591,    0.3720,      1200,    1.0000,
