----,
DateTime:        , 2023/02/14, 11:46:02, 1676389562392,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -1220.71,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,     752.59,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,   1000.543,
    1,        0.8,     73.330,     969.516,    996.236,
    2,        3.3,     96.077,     990.777,    998.250,
    3,        5.8,     96.172,    1006.989,   1007.209,
    4,        8.3,     96.125,    1021.532,   1020.370,
    5,       10.8,     96.379,    1036.996,   1036.061,
    6,       13.3,     96.331,    1054.118,   1053.338,
    7,       15.8,     96.458,    1069.835,   1071.588,
    8,       18.3,     96.299,    1089.253,   1090.476,
    9,       20.8,     96.411,    1106.149,   1109.748,
   10,       23.3,     96.427,    1123.596,   1129.288,
   11,       25.8,     96.522,    1144.244,   1149.005,
   12,       28.3,     96.299,    1165.578,   1168.865,
   13,       30.8,     96.331,    1182.841,   1188.788,
   14,       33.3,     96.427,    1202.931,   1208.754,
   15,       35.8,     96.427,    1220.561,   1228.756,
   16,       38.3,     96.458,    1243.485,   1248.769,
   17,       40.8,     96.347,    1259.970,   1268.783,
   18,       43.3,     96.538,    1282.861,   1288.758,
   19,       45.8,     96.570,    1303.149,   1308.706,
   20,       48.3,     96.570,    1322.824,   1328.608,
   21,       50.8,     96.649,    1346.052,   1348.443,
   22,       53.3,     96.585,    1365.574,   1368.205,
   23,       55.8,     96.713,    1383.943,   1387.860,
   24,       58.3,     96.633,    1407.329,   1407.412,
   25,       60.8,     96.506,    1424.207,   1426.834,
   26,       63.3,     96.490,    1447.242,   1446.094,
   27,       65.8,     96.601,    1467.833,   1465.178,
