----,
DateTime:        , 2025/11/18, 17:39:23, 1763501962816,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              5,      25, 
SNR_raw:,     705.09,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    187.218,
    1,        0.8,    164.137,     188.258,    191.241,
    2,        3.3,    179.951,     196.372,    195.933,
    3,        5.8,    180.108,     203.767,    200.892,
    4,        8.3,    180.291,     208.108,    206.078,
    5,       10.8,    180.213,     212.527,    211.446,
    6,       13.3,    180.317,     217.616,    216.967,
    7,       15.8,    180.422,     222.478,    222.611,
    8,       18.3,    180.435,     227.561,    228.348,
    9,       20.8,    180.618,     233.309,    234.158,
   10,       23.3,    180.710,     239.057,    240.016,
   11,       25.8,    180.540,     245.264,    245.895,
   12,       28.3,    180.488,     250.987,    251.780,
   13,       30.8,    180.828,     256.929,    257.663,
   14,       33.3,    180.762,     263.329,    263.519,
   15,       35.8,    180.632,     269.277,    269.333,
   16,       38.3,    180.789,     274.464,    275.098,
   17,       40.8,    180.645,     280.108,    280.796,
   18,       43.3,    180.893,     286.467,    286.425,
   19,       45.8,    180.854,     291.284,    291.969,
   20,       48.3,    180.762,     296.743,    297.420,
   21,       50.8,    180.933,     302.322,    302.773,
   22,       53.3,    180.933,     307.628,    308.020,
   23,       55.8,    180.959,     313.110,    313.154,
   24,       58.3,    180.933,     318.461,    318.169,
   25,       60.8,    180.920,     324.011,    323.062,
   26,       63.3,    180.959,     328.472,    327.829,
   27,       65.8,    180.828,     334.019,    332.465,
   28,       68.3,    181.181,     337.673,    336.973,
   29,       70.8,    180.972,     342.263,    341.345,
