----,
DateTime:        , 2025/11/21, 13:26:45, 1763746005801,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              5,     100, 
SNR_raw:,     464.29,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     97.292,
    1,        0.8,    163.475,      98.119,     99.089,
    2,        3.3,    180.581,     101.827,    101.336,
    3,        5.8,    180.637,     105.183,    103.820,
    4,        8.3,    180.630,     107.513,    106.493,
    5,       10.8,    180.615,     109.847,    109.312,
    6,       13.3,    180.775,     112.516,    112.246,
    7,       15.8,    180.749,     115.630,    115.264,
    8,       18.3,    180.853,     117.997,    118.343,
    9,       20.8,    180.816,     120.454,    121.461,
   10,       23.3,    180.808,     124.662,    124.602,
   11,       25.8,    180.790,     126.667,    127.751,
   12,       28.3,    180.838,     129.619,    130.896,
   13,       30.8,    180.827,     133.387,    134.027,
   14,       33.3,    180.838,     136.808,    137.135,
   15,       35.8,    180.890,     139.864,    140.212,
   16,       38.3,    180.857,     143.097,    143.253,
   17,       40.8,    180.905,     145.712,    146.251,
   18,       43.3,    180.909,     148.915,    149.202,
   19,       45.8,    180.897,     151.356,    152.103,
   20,       48.3,    180.975,     154.938,    154.949,
   21,       50.8,    180.998,     158.344,    157.739,
   22,       53.3,    180.879,     160.771,    160.469,
   23,       55.8,    180.890,     163.525,    163.138,
   24,       58.3,    180.883,     166.185,    165.744,
   25,       60.8,    180.879,     168.621,    168.285,
   26,       63.3,    180.905,     170.919,    170.762,
   27,       65.8,    180.938,     173.650,    173.174,
   28,       68.3,    181.020,     176.113,    175.520,
   29,       70.8,    180.942,     178.510,    177.799,
