Source DataFile                                       ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\Ottawa_2025\20251121_MaPo2023_16C_2s_data.csv , 2025/11/21, 13:26:45,    1763746005801,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.9412,     0.9564,    198.12,     97.29,    244.40,    0.6019,    0.2860, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2023_16C_2s_data.csv , 2025/11/21, 13:26:48,    1763746008360,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.7425,     0.9493,    200.04,    108.09,    228.60,    0.5272,    0.2200, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2023_16C_2s_data.csv , 2025/11/21, 13:26:51,    1763746010958,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.2280,     0.9606,    210.28,    110.23,    216.29,    0.4904,    0.2500, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2023_16C_2s_data.csv , 2025/11/21, 13:26:53,    1763746013523,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.5650,     0.9642,    216.32,    106.40,    218.98,    0.5141,    0.2490, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2023_16C_2s_data.csv , 2025/11/21, 13:26:56,    1763746016108,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     1.8177,     0.9589,    210.85,    103.43,    219.07,    0.5279,    0.2700,     10093,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2023_16C_2s_data.csv , 2025/11/21, 13:26:58,    1763746018608,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     2.0507,     0.9585,    208.60,    103.42,    216.46,    0.5222,    0.2420, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2023_16C_2s_data.csv , 2025/11/21, 13:27:01,    1763746021190,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.4143,     0.9651,    215.08,    104.63,    213.28,    0.5094,    0.2630, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2023_16C_2s_data.csv , 2025/11/21, 13:27:03,    1763746023762,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.9819,     0.9683,    220.16,    104.20,    212.55,    0.5098,    0.2730,     57084,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2023_16C_2s_data.csv , 2025/11/21, 13:27:06,    1763746026291,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.3502,     0.9648,    217.21,    103.81,    213.93,    0.5147,    0.2670,     22663,    1.0000,
