----,
DateTime:        , 2023/02/14, 11:36:57, 1676389017384,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -1215.79,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,     736.32,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    996.954,
    1,        0.8,     73.167,     967.188,    994.568,
    2,        3.3,     96.096,     989.699,    997.968,
    3,        5.8,     96.413,    1006.782,   1007.451,
    4,        8.3,     96.254,    1022.982,   1020.771,
    5,       10.8,     96.144,    1037.682,   1036.488,
    6,       13.3,     96.413,    1054.494,   1053.704,
    7,       15.8,     96.492,    1073.320,   1071.905,
    8,       18.3,     96.286,    1088.595,   1090.754,
    9,       20.8,     96.460,    1103.736,   1110.004,
   10,       23.3,     96.254,    1126.354,   1129.540,
   11,       25.8,     96.270,    1142.788,   1149.248,
   12,       28.3,     96.349,    1165.202,   1169.071,
   13,       30.8,     96.571,    1180.651,   1188.973,
   14,       33.3,     96.254,    1203.753,   1208.948,
   15,       35.8,     96.365,    1220.529,   1228.929,
   16,       38.3,     96.508,    1244.115,   1248.911,
   17,       40.8,     96.460,    1265.461,   1268.888,
   18,       43.3,     96.492,    1284.218,   1288.833,
   19,       45.8,     96.381,    1303.333,   1308.733,
   20,       48.3,     96.571,    1323.551,   1328.557,
   21,       50.8,     96.460,    1344.250,   1348.310,
   22,       53.3,     96.555,    1365.195,   1367.962,
   23,       55.8,     96.539,    1383.028,   1387.506,
   24,       58.3,     96.555,    1405.069,   1406.924,
   25,       60.8,     96.555,    1425.264,   1426.200,
   26,       63.3,     96.650,    1445.592,   1445.317,
   27,       65.8,     96.603,    1469.076,   1464.270,
