----,
DateTime:        , 2023/03/14, 10:40:42, 1678801242689,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,    1638.05,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    873.276,
    1,        0.8,    163.000,     902.761,    905.769,
    2,        3.3,    180.149,     956.014,    945.641,
    3,        5.8,    180.039,    1004.227,    988.880,
    4,        8.3,    180.121,    1044.852,   1034.619,
    5,       10.8,    180.244,    1083.529,   1082.138,
    6,       13.3,    180.532,    1128.333,   1130.875,
    7,       15.8,    180.368,    1174.824,   1180.266,
    8,       18.3,    180.764,    1219.267,   1230.008,
    9,       20.8,    180.669,    1267.791,   1279.695,
   10,       23.3,    180.778,    1316.808,   1329.085,
   11,       25.8,    180.737,    1364.137,   1377.932,
   12,       28.3,    180.532,    1414.987,   1426.023,
   13,       30.8,    180.491,    1464.064,   1473.227,
   14,       33.3,    180.477,    1513.489,   1519.421,
   15,       35.8,    180.764,    1560.595,   1564.541,
   16,       38.3,    180.614,    1607.020,   1608.451,
   17,       40.8,    180.833,    1652.078,   1651.124,
   18,       43.3,    180.545,    1696.803,   1692.455,
   19,       45.8,    180.983,    1738.557,   1732.472,
   20,       48.3,    180.696,    1779.785,   1771.082,
   21,       50.8,    180.942,    1818.259,   1808.310,
   22,       53.3,    180.792,    1854.343,   1844.116,
   23,       55.8,    180.764,    1889.753,   1878.506,
   24,       58.3,    180.764,    1922.668,   1911.485,
   25,       60.8,    181.052,    1952.480,   1943.081,
   26,       63.3,    180.805,    1982.241,   1973.289,
   27,       65.8,    180.970,    2010.558,   2002.142,
