----,
DateTime:        , 2023/09/13, 11:25:56, 1694615155960,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -1110.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      56,
Lamps:,        #10000,
Gain:,              2,      10, 
SNR_raw:,     193.63,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    432.467,
    1,        0.8,    512.460,     481.209,    468.487,
    2,        3.3,    539.386,     537.822,    527.802,
    3,        5.8,    540.026,     591.546,    597.058,
    4,        8.3,    540.139,     653.351,    668.581,
    5,       10.8,    540.289,     719.707,    738.303,
    6,       13.3,    540.704,     787.955,    804.190,
    7,       15.8,    541.193,     855.147,    865.352,
    8,       18.3,    541.532,     918.597,    921.528,
    9,       20.8,    541.758,     977.281,    972.781,
   10,       23.3,    541.871,    1029.581,   1019.341,
   11,       25.8,    541.871,    1076.363,   1061.523,
   12,       28.3,    542.172,    1116.527,   1099.635,
   13,       30.8,    542.210,    1152.229,   1134.052,
   14,       33.3,    542.285,    1183.049,   1165.097,
   15,       35.8,    542.587,    1209.577,   1193.056,
   16,       38.3,    542.737,    1232.825,   1218.245,
   17,       40.8,    542.587,    1253.901,   1240.958,
   18,       43.3,    542.700,    1271.330,   1261.394,
   19,       45.8,    542.662,    1287.818,   1279.794,
   20,       48.3,    542.850,    1301.925,   1296.330,
   21,       50.8,    542.813,    1315.003,   1311.218,
   22,       53.3,    542.737,    1326.240,   1324.621,
   23,       55.8,    543.076,    1335.724,   1336.631,
   24,       58.3,    542.813,    1345.676,   1347.477,
   25,       60.8,    542.963,    1354.420,   1357.206,
   26,       63.3,    543.001,    1361.968,   1365.951,
   27,       65.8,    543.001,    1369.611,   1373.817,
   28,       68.3,    542.888,    1376.712,   1380.904,
