Source DataFile                                                       ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
----------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:34:24,    1694612064171,--Not Acquired--     ,--Not Acquired--     , -1167.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.8757,     0.9829,    175.61,    394.85,   1721.84,    0.7707,    0.0520,      1789,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:34:40,    1694612080682,--Not Acquired--     ,--Not Acquired--     , -1134.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.4626,     0.9875,    181.05,    447.32,   1516.09,    0.7050,    0.1040,      2185,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:34:57,    1694612097193,--Not Acquired--     ,--Not Acquired--     , -1132.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2235,     0.9897,    192.09,    458.65,   1425.15,    0.6782,    0.2140,      1842,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:35:13,    1694612113711,--Not Acquired--     ,--Not Acquired--     , -1127.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2048,     0.9901,    198.74,    449.20,   1394.08,    0.6778,    0.2690,      1631,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:35:30,    1694612130241,--Not Acquired--     ,--Not Acquired--     , -1119.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2026,     0.9905,    202.09,    444.88,   1371.38,    0.6756,    0.3000,      1567,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:35:46,    1694612146747,--Not Acquired--     ,--Not Acquired--     , -1120.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1572,     0.9906,    204.34,    443.96,   1351.47,    0.6715,    0.3210,      1505,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:36:03,    1694612163253,--Not Acquired--     ,--Not Acquired--     , -1143.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1393,     0.9906,    205.56,    444.12,   1344.00,    0.6696,    0.3330,      1463,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:36:19,    1694612179773,--Not Acquired--     ,--Not Acquired--     , -1124.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1343,     0.9905,    206.22,    443.46,   1342.92,    0.6698,    0.3370,      1437,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:36:36,    1694612196296,--Not Acquired--     ,--Not Acquired--     , -1123.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1255,     0.9905,    206.84,    443.58,   1342.25,    0.6695,    0.3440,      1405,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:36:52,    1694612212798,--Not Acquired--     ,--Not Acquired--     , -1122.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1173,     0.9905,    207.41,    444.33,   1342.82,    0.6691,    0.3460,      1395,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:37:09,    1694612229332,--Not Acquired--     ,--Not Acquired--     , -1122.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1103,     0.9905,    208.04,    445.59,   1346.52,    0.6691,    0.3500,      1390,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:37:26,    1694612245837,--Not Acquired--     ,--Not Acquired--     , -1115.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1103,     0.9905,    208.37,    446.76,   1350.56,    0.6692,    0.3490,      1388,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:37:42,    1694612262339,--Not Acquired--     ,--Not Acquired--     , -1125.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1050,     0.9905,    208.96,    448.13,   1355.34,    0.6694,    0.3500,      1382,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:37:59,    1694612278855,--Not Acquired--     ,--Not Acquired--     , -1116.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0996,     0.9904,    209.35,    449.36,   1360.88,    0.6698,    0.3520,      1361,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:38:15,    1694612295385,--Not Acquired--     ,--Not Acquired--     , -1122.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0968,     0.9904,    209.65,    450.66,   1366.35,    0.6702,    0.3510,      1353,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:38:32,    1694612311906,--Not Acquired--     ,--Not Acquired--     , -1117.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0979,     0.9905,    210.07,    452.79,   1370.43,    0.6696,    0.3530,      1366,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:38:48,    1694612328420,--Not Acquired--     ,--Not Acquired--     , -1114.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0973,     0.9905,    210.43,    453.50,   1375.15,    0.6702,    0.3510,      1370,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:39:05,    1694612344933,--Not Acquired--     ,--Not Acquired--     , -1121.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0921,     0.9904,    210.65,    454.42,   1380.38,    0.6708,    0.3520,      1351,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:39:21,    1694612361472,--Not Acquired--     ,--Not Acquired--     , -1120.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0951,     0.9905,    211.09,    456.18,   1385.31,    0.6707,    0.3510,      1360,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:39:38,    1694612377994,--Not Acquired--     ,--Not Acquired--     , -1111.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0889,     0.9905,    211.08,    457.52,   1389.52,    0.6707,    0.3540,      1345,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:39:54,    1694612394533,--Not Acquired--     ,--Not Acquired--     , -1124.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0907,     0.9904,    211.59,    459.18,   1394.77,    0.6708,    0.3520,      1341,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:40:11,    1694612411061,--Not Acquired--     ,--Not Acquired--     , -1119.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0908,     0.9905,    211.69,    460.74,   1398.56,    0.6706,    0.3530,      1352,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:40:27,    1694612427581,--Not Acquired--     ,--Not Acquired--     , -1115.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0901,     0.9905,    212.00,    462.04,   1403.09,    0.6707,    0.3540,      1346,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:40:44,    1694612444089,--Not Acquired--     ,--Not Acquired--     , -1109.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0873,     0.9904,    212.35,    462.31,   1406.89,    0.6714,    0.3530,      1334,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:41:00,    1694612460585,--Not Acquired--     ,--Not Acquired--     , -1121.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0843,     0.9904,    212.65,    462.89,   1410.48,    0.6718,    0.3520,      1334,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:41:17,    1694612477110,--Not Acquired--     ,--Not Acquired--     , -1117.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0814,     0.9905,    212.90,    464.68,   1413.62,    0.6713,    0.3540,      1332,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:41:33,    1694612493627,--Not Acquired--     ,--Not Acquired--     , -1106.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0842,     0.9905,    213.00,    466.34,   1416.27,    0.6707,    0.3540,      1337,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:41:50,    1694612510158,--Not Acquired--     ,--Not Acquired--     , -1120.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0811,     0.9904,    213.12,    466.80,   1421.06,    0.6715,    0.3530,      1320,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:42:06,    1694612526671,--Not Acquired--     ,--Not Acquired--     , -1126.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0793,     0.9905,    213.24,    467.65,   1423.71,    0.6715,    0.3540,      1334,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:42:23,    1694612543191,--Not Acquired--     ,--Not Acquired--     , -1119.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0782,     0.9903,    213.48,    468.18,   1427.80,    0.6721,    0.3540,      1305,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:42:39,    1694612559714,--Not Acquired--     ,--Not Acquired--     , -1111.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0827,     0.9904,    213.67,    469.01,   1429.65,    0.6719,    0.3540,      1320,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\NoDecay\20230913_NaOm1671_14C_16S_data.csv , 2023/09/13, 10:42:56,    1694612576259,--Not Acquired--     ,--Not Acquired--     , -1110.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0786,     0.9906,    213.91,    469.52,   1431.00,    0.6719,    0.3540,      1340,    1.0000,
