----,
DateTime:        , 2023/03/14, 11:30:22, 1678804221954,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,    1103.97,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    744.682,
    1,        0.8,    163.011,     762.217,    768.746,
    2,        3.3,    180.116,     803.720,    797.983,
    3,        5.8,    180.267,     841.250,    829.574,
    4,        8.3,    180.185,     870.217,    862.938,
    5,       10.8,    180.419,     902.899,    897.662,
    6,       13.3,    180.446,     933.242,    933.332,
    7,       15.8,    180.391,     966.233,    969.611,
    8,       18.3,    180.488,    1000.623,   1006.240,
    9,       20.8,    180.529,    1035.291,   1042.977,
   10,       23.3,    180.543,    1072.046,   1079.617,
   11,       25.8,    180.708,    1108.143,   1116.002,
   12,       28.3,    180.639,    1144.548,   1151.957,
   13,       30.8,    180.708,    1181.742,   1187.368,
   14,       33.3,    180.639,    1216.792,   1222.108,
   15,       35.8,    180.639,    1251.945,   1256.092,
   16,       38.3,    180.722,    1287.340,   1289.247,
   17,       40.8,    180.598,    1322.830,   1321.486,
   18,       43.3,    180.873,    1354.266,   1352.792,
   19,       45.8,    180.900,    1385.845,   1383.098,
   20,       48.3,    180.845,    1417.509,   1412.363,
   21,       50.8,    180.859,    1445.877,   1440.565,
   22,       53.3,    180.873,    1473.963,   1467.687,
   23,       55.8,    180.722,    1499.821,   1493.710,
   24,       58.3,    180.845,    1525.336,   1518.644,
   25,       60.8,    180.763,    1548.438,   1542.483,
   26,       63.3,    180.873,    1570.993,   1565.244,
   27,       65.8,    180.900,    1592.036,   1586.937,
   28,       68.3,    180.955,    1612.551,   1607.581,
