----,
DateTime:        , 2023/09/11, 10:58:39, 1694440719309,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      49,      50,      50,
Lamps:,        #10000,
Gain:,              2,      10, 
SNR_raw:,      14.14,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    342.875,
    1,        0.8,    340.181,     536.332,    431.418,
    2,        3.3,    359.895,     592.923,    517.029,
    3,        5.8,    360.079,     646.386,    595.049,
    4,        8.3,    360.153,     702.341,    666.051,
    5,       10.8,    360.411,     760.938,    730.629,
    6,       13.3,    360.705,     818.951,    789.314,
    7,       15.8,    360.669,     875.873,    842.557,
    8,       18.3,    360.742,     929.195,    890.843,
    9,       20.8,    361.074,     976.670,    934.626,
   10,       23.3,    361.074,    1019.459,    974.276,
   11,       25.8,    361.184,    1057.908,   1010.172,
   12,       28.3,    361.221,    1091.436,   1042.649,
   13,       30.8,    361.442,    1120.096,   1072.029,
   14,       33.3,    361.774,    1144.637,   1098.601,
   15,       35.8,    361.369,    1168.336,   1122.598,
   16,       38.3,    361.516,    1186.669,   1144.281,
   17,       40.8,    361.590,    1203.297,   1163.866,
   18,       43.3,    361.700,    1217.997,   1181.550,
   19,       45.8,    361.516,    1230.789,   1197.511,
   20,       48.3,    361.516,    1240.885,   1211.917,
   21,       50.8,    361.627,    1251.291,   1224.917,
   22,       53.3,    361.774,    1259.626,   1236.645,
   23,       55.8,    361.921,    1266.021,   1247.225,
   24,       58.3,    362.142,    1272.980,   1256.765,
   25,       60.8,    362.179,    1279.201,   1265.368,
   26,       63.3,    361.995,    1284.272,   1273.129,
   27,       65.8,    362.106,    1290.231,   1280.124,
   28,       68.3,    362.106,    1292.579,   1286.431,
