----,
DateTime:        , 2023/09/12, 13:49:05, 1694537345274,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -2890.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      56,
Lamps:,        #10000,
Gain:,              1,      10, 
SNR_raw:,     229.87,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    567.745,
    1,        0.8,    339.335,     709.329,    659.148,
    2,        3.3,    359.678,     782.049,    760.966,
    3,        5.8,    359.982,     850.597,    861.004,
    4,        8.3,    360.287,     925.097,    955.718,
    5,       10.8,    360.287,    1004.756,   1043.757,
    6,       13.3,    360.439,    1088.674,   1124.871,
    7,       15.8,    360.667,    1168.391,   1199.260,
    8,       18.3,    360.781,    1247.017,   1267.293,
    9,       20.8,    360.705,    1322.411,   1329.403,
   10,       23.3,    360.971,    1387.369,   1386.072,
   11,       25.8,    361.161,    1447.277,   1437.746,
   12,       28.3,    361.047,    1499.805,   1484.831,
   13,       30.8,    361.085,    1548.112,   1527.717,
   14,       33.3,    361.161,    1587.380,   1566.770,
   15,       35.8,    361.617,    1622.433,   1602.332,
   16,       38.3,    361.465,    1654.654,   1634.712,
   17,       40.8,    361.655,    1681.711,   1664.177,
   18,       43.3,    361.731,    1706.514,   1690.990,
   19,       45.8,    361.998,    1727.359,   1715.382,
   20,       48.3,    361.770,    1747.522,   1737.582,
   21,       50.8,    361.884,    1762.998,   1757.763,
   22,       53.3,    361.770,    1779.586,   1776.119,
   23,       55.8,    361.922,    1792.377,   1792.800,
   24,       58.3,    361.884,    1804.724,   1807.969,
   25,       60.8,    361.731,    1818.199,   1821.764,
   26,       63.3,    362.112,    1827.060,   1834.281,
   27,       65.8,    361.617,    1838.407,   1845.691,
