----,
DateTime:        , 2023/09/12, 16:14:14, 1694546054542,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,-Not Acquired--,
PIF:,        -1145.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      56,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,     227.57,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    226.500,
    1,        0.8,    338.947,     260.513,    248.279,
    2,        3.3,    359.711,     278.576,    271.475,
    3,        5.8,    359.964,     295.585,    294.495,
    4,        8.3,    360.425,     314.073,    317.093,
    5,       10.8,    360.515,     333.135,    339.052,
    6,       13.3,    360.515,     352.968,    360.220,
    7,       15.8,    360.678,     372.908,    380.497,
    8,       18.3,    360.857,     392.538,    399.810,
    9,       20.8,    360.857,     412.906,    418.104,
   10,       23.3,    360.946,     431.505,    435.359,
   11,       25.8,    360.991,     449.457,    451.567,
   12,       28.3,    361.065,     466.813,    466.737,
   13,       30.8,    361.393,     481.194,    480.896,
   14,       33.3,    361.423,     495.403,    494.065,
   15,       35.8,    361.527,     509.091,    506.282,
   16,       38.3,    361.586,     520.623,    517.587,
   17,       40.8,    361.795,     531.102,    528.026,
   18,       43.3,    361.705,     541.186,    537.643,
   19,       45.8,    361.661,     549.686,    546.487,
   20,       48.3,    361.958,     557.661,    554.609,
   21,       50.8,    361.839,     565.030,    562.053,
   22,       53.3,    361.958,     571.474,    568.867,
   23,       55.8,    361.914,     576.242,    575.097,
   24,       58.3,    362.033,     581.715,    580.785,
   25,       60.8,    361.988,     586.898,    585.974,
   26,       63.3,    362.152,     591.326,    590.702,
   27,       65.8,    361.884,     595.080,    595.008,
   28,       68.3,    362.241,     598.910,    598.923,
   29,       70.8,    362.137,     602.396,    602.483,
