Source DataFile                                        ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,
-------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18_data.csv , 2023/03/14, 10:49:19,    1678801758933,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,    57.0356,     0.9795,    274.65,    852.76,   2439.07,    0.6504,    0.2970,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18_data.csv , 2023/03/14, 10:49:23,    1678801763370,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    19.1478,     0.9717,    287.89,    943.51,   2176.44,    0.5665,    0.3210,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18_data.csv , 2023/03/14, 10:49:27,    1678801767804,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,    13.5725,     0.9686,    307.13,    949.28,   2089.85,    0.5458,    0.3900,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18_data.csv , 2023/03/14, 10:49:32,    1678801772234,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    14.2424,     0.9710,    301.46,    917.51,   2143.93,    0.5720,    0.3710,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18_data.csv , 2023/03/14, 10:49:36,    1678801776689,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    23.3922,     0.9783,    301.34,    912.08,   2153.63,    0.5765,    0.3520,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18_data.csv , 2023/03/14, 10:49:41,    1678801781136,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    15.0281,     0.9754,    304.11,    921.01,   2121.84,    0.5659,    0.3690,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18_data.csv , 2023/03/14, 10:49:45,    1678801785566,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    12.2606,     0.9694,    303.01,    917.76,   2111.64,    0.5654,    0.3830,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18_data.csv , 2023/03/14, 10:49:50,    1678801789996,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    15.1931,     0.9740,    303.51,    917.72,   2120.09,    0.5671,    0.3690,
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18_data.csv , 2023/03/14, 10:49:54,    1678801794446,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    10.5765,     0.9710,    303.35,    915.30,   2117.26,    0.5677,    0.3820,
