Source DataFile                                            ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p
-----------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18C_8S_data.csv , 2023/03/14, 10:42:05,1.6788E+12,--Not Acquired--     ,--Not Acquired--     ,0,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,65.1167,0.9779,267.59,867.89,2577.61,0.6633,0.29
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18C_8S_data.csv , 2023/03/14, 10:42:14,1.6788E+12,--Not Acquired--     ,--Not Acquired--     ,0,0,0,  NO DATA,    '10000,0,0,0,0,0,0,110,29.9629,0.975,280.08,947.33,2288.37,0.586,0.315
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18C_8S_data.csv , 2023/03/14, 10:42:22,1.6788E+12,--Not Acquired--     ,--Not Acquired--     ,0,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,19.5007,0.9769,296.87,951.16,2189.99,0.5657,0.341
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18C_8S_data.csv , 2023/03/14, 10:42:30,1.6788E+12,--Not Acquired--     ,--Not Acquired--     ,0,0,0,  NO DATA,    '10000,0,0,0,0,0,0,110,12.2805,0.9738,296.44,932.96,2191.87,0.5744,0.358
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18C_8S_data.csv , 2023/03/14, 10:42:39,1.6788E+12,--Not Acquired--     ,--Not Acquired--     ,0,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,25.3005,0.9775,297.53,923.24,2187.87,0.578,0.348
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18C_8S_data.csv , 2023/03/14, 10:42:47,1.6788E+12,--Not Acquired--     ,--Not Acquired--     ,0,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,19.5891,0.9761,299.17,924.15,2168.97,0.5739,0.356
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18C_8S_data.csv , 2023/03/14, 10:42:56,1.6788E+12,--Not Acquired--     ,--Not Acquired--     ,0,0,0,  NO DATA,    '10000,0,0,0,0,0,0,110,24.8863,0.9745,300.63,923.33,2160.52,0.5726,0.361
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18C_8S_data.csv , 2023/03/14, 10:43:04,1.6788E+12,--Not Acquired--     ,--Not Acquired--     ,0,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,23.5579,0.9764,301.44,925.05,2159.51,0.5716,0.363
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18C_8S_data.csv , 2023/03/14, 10:43:13,1.6788E+12,--Not Acquired--     ,--Not Acquired--     ,0,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,9.9219,0.973,300.55,921.83,2158.29,0.5729,0.368
C:\LIFT\DATA\LOW\NoDecay\20230314_NaOm1305_18C_8S_data.csv , 2023/03/14, 10:43:21,1.6788E+12,--Not Acquired--     ,--Not Acquired--     ,0,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,16.0117,0.9748,301.16,923.26,2158.14,0.5722,0.364
