Source DataFile                                            ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,
-----------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_8S_data.csv , 2023/09/11, 10:52:45,    1694440365142,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,   189.1660,     0.9992,    280.28,    449.27,   1484.92,    0.6974,    0.0000,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_8S_data.csv , 2023/09/11, 10:54:05,    1694440445727,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     1.6878,     0.9936,    278.15,    333.77,   1405.95,    0.7626,    0.0000,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_8S_data.csv , 2023/09/11, 10:54:26,    1694440466691,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.1889,     0.9885,    351.73,    312.05,   1317.94,    0.7632,    0.0000,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_8S_data.csv , 2023/09/11, 10:54:35,    1694440475240,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     0.3661,     0.9902,    363.60,    311.41,   1278.98,    0.7565,    0.2060,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_8S_data.csv , 2023/09/11, 10:54:43,    1694440483789,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.3193,     0.9921,    364.81,    310.83,   1280.22,    0.7572,    0.2310,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_8S_data.csv , 2023/09/11, 10:54:52,    1694440492324,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.3831,     0.9907,    358.51,    305.93,   1289.62,    0.7628,    0.1760,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_8S_data.csv , 2023/09/11, 10:55:01,    1694440500833,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.4316,     0.9923,    350.64,    309.82,   1283.27,    0.7586,    0.2560,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_8S_data.csv , 2023/09/11, 10:55:09,    1694440509352,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     0.3400,     0.9903,    363.76,    302.12,   1278.88,    0.7638,    0.2150,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_8S_data.csv , 2023/09/11, 10:55:18,    1694440517873,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.3684,     0.9912,    358.89,    303.56,   1280.49,    0.7629,    0.2240,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_8S_data.csv , 2023/09/11, 10:55:26,    1694440526381,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.3693,     0.9932,    362.68,    316.51,   1280.93,    0.7529,    0.2420,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_8S_data.csv , 2023/09/11, 10:55:35,    1694440534887,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.2719,     0.9896,    372.46,    302.57,   1281.28,    0.7639,    0.1780,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_8S_data.csv , 2023/09/11, 10:55:43,    1694440543392,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.3359,     0.9911,    370.58,    310.40,   1281.16,    0.7577,    0.2280,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_8S_data.csv , 2023/09/11, 10:55:52,    1694440551933,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     0.3201,     0.9923,    357.33,    307.23,   1281.87,    0.7603,    0.2360,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_8S_data.csv , 2023/09/11, 10:56:00,    1694440560421,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.3766,     0.9907,    370.24,    305.08,   1282.55,    0.7621,    0.2060,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_8S_data.csv , 2023/09/11, 10:56:09,    1694440568925,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.3368,     0.9905,    366.01,    301.72,   1282.87,    0.7648,    0.2170,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_8S_data.csv , 2023/09/11, 10:56:17,    1694440577440,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.2811,     0.9905,    368.68,    301.27,   1285.16,    0.7656,    0.1810,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_8S_data.csv , 2023/09/11, 10:56:26,    1694440585969,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.4951,     0.9936,    350.16,    312.31,   1284.19,    0.7568,    0.3060,
