Source DataFile                                            ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
-----------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_14C_1S_data.csv , 2023/09/12, 15:45:18,    1694544318710,--Not Acquired--     ,-Not Acquired--      , -1165.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     3.3055,     0.9941,    218.30,    224.41,    670.03,    0.6651,    0.1680, 1.000e+07,    0.9449,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_14C_1S_data.csv , 2023/09/12, 15:45:20,    1694544320383,--Not Acquired--     ,-Not Acquired--      , -1175.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2782,     0.9840,    218.82,    268.07,    629.54,    0.5742,    0.3730,      1297,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_14C_1S_data.csv , 2023/09/12, 15:45:22,    1694544322076,--Not Acquired--     ,-Not Acquired--      , -1170.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.8942,     0.9954,    230.03,    258.19,    629.84,    0.5901,    0.3800,      5137,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_14C_1S_data.csv , 2023/09/12, 15:45:23,    1694544323776,--Not Acquired--     ,-Not Acquired--      , -1175.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     1.2574,     0.9905,    226.72,    240.03,    655.90,    0.6340,    0.2850,      3058,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_14C_1S_data.csv , 2023/09/12, 15:45:25,    1694544325493,--Not Acquired--     ,-Not Acquired--      , -1170.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     1.0079,     0.9835,    223.58,    243.17,    643.88,    0.6223,    0.3080,      1431,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_14C_1S_data.csv , 2023/09/12, 15:45:27,    1694544327203,--Not Acquired--     ,-Not Acquired--      , -1135.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3422,     0.9804,    226.13,    252.96,    631.09,    0.5992,    0.3640,       996,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_14C_1S_data.csv , 2023/09/12, 15:45:29,    1694544328918,--Not Acquired--     ,-Not Acquired--      , -1175.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.4697,     0.9822,    227.78,    252.14,    637.27,    0.6043,    0.3630,      1097,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_14C_1S_data.csv , 2023/09/12, 15:45:30,    1694544330647,--Not Acquired--     ,-Not Acquired--      , -1160.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.7434,     0.9892,    228.01,    246.19,    643.07,    0.6172,    0.3240,      2178,    0.9936,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_14C_1S_data.csv , 2023/09/12, 15:45:32,    1694544332389,--Not Acquired--     ,-Not Acquired--      , -1145.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.8326,     0.9930,    229.11,    247.97,    639.42,    0.6122,    0.3280,      3739,    0.9999,
