Source DataFile                                                         ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Alp1PQ,    Tau1PQ,    Alp1QA,
------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_4S_data.csv , 2023/09/12, 13:56:36,    1694537795927,--Not Acquired--     ,-Not Acquired--      , -2890.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,    10.4097,     0.9796,    258.74,    567.64,   1985.29,    0.7141,    0.0660,    0.0000,         0,    0.3951,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_4S_data.csv , 2023/09/12, 13:56:40,    1694537800413,--Not Acquired--     ,-Not Acquired--      , -2880.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.4424,     0.9874,    286.91,    735.38,   1762.70,    0.5828,    0.3590,    0.0000,         0,    0.5679,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_4S_data.csv , 2023/09/12, 13:56:45,    1694537804907,--Not Acquired--     ,-Not Acquired--      , -2850.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.4949,     0.9925,    287.51,    734.32,   1720.74,    0.5733,    0.4100,    0.0000,         0,    0.9992,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_4S_data.csv , 2023/09/12, 13:56:49,    1694537809413,--Not Acquired--     ,-Not Acquired--      , -2870.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5117,     0.9826,    296.46,    691.52,   1794.69,    0.6147,    0.3660,    0.0000,         0,    0.6877,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_4S_data.csv , 2023/09/12, 13:56:54,    1694537813907,--Not Acquired--     ,-Not Acquired--      , -2840.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.7511,     0.9824,    294.07,    684.11,   1789.39,    0.6177,    0.3470,    0.0000,         0,    0.6680,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_4S_data.csv , 2023/09/12, 13:56:58,    1694537818413,--Not Acquired--     ,-Not Acquired--      , -2830.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.4279,     0.9862,    292.35,    709.12,   1754.27,    0.5958,    0.3800,    0.0000,         0,    0.5994,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_4S_data.csv , 2023/09/12, 13:57:03,    1694537822924,--Not Acquired--     ,-Not Acquired--      , -2810.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.4965,     0.9868,    292.61,    704.94,   1760.62,    0.5996,    0.3710,    0.0000,         0,    0.5674,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_4S_data.csv , 2023/09/12, 13:57:07,    1694537827405,--Not Acquired--     ,-Not Acquired--      , -2870.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.4826,     0.9852,    294.43,    695.32,   1774.84,    0.6082,    0.3600,    0.0000,         0,    0.6181,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_4S_data.csv , 2023/09/12, 13:57:12,    1694537831930,--Not Acquired--     ,-Not Acquired--      , -2880.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5952,     0.9845,    295.40,    699.04,   1768.80,    0.6048,    0.3700,    0.0000,         0,    0.5022,
