Source DataFile                                             ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_05S_data.csv , 2023/09/12, 16:14:14,    1694546054542,--Not Acquired--     ,-Not Acquired--      , -1145.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     3.8809,     0.9956,    228.35,    226.50,    662.11,    0.6579,    0.1870,     19276,    0.0999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_05S_data.csv , 2023/09/12, 16:14:15,    1694546055766,--Not Acquired--     ,-Not Acquired--      , -1145.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     2.0632,     0.9956,    248.76,    275.84,    615.03,    0.5515,    0.3970,      2855,    0.0001,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_05S_data.csv , 2023/09/12, 16:14:17,    1694546056882,--Not Acquired--     ,-Not Acquired--      , -1135.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5463,     0.9838,    244.15,    261.11,    615.56,    0.5758,    0.3840,      1037,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_05S_data.csv , 2023/09/12, 16:14:18,    1694546058091,--Not Acquired--     ,-Not Acquired--      , -1155.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     1.5859,     0.9927,    246.30,    247.96,    639.37,    0.6122,    0.3250,      2642,    0.0001,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_05S_data.csv , 2023/09/12, 16:14:19,    1694546059184,--Not Acquired--     ,-Not Acquired--      , -1150.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.6810,     0.9778,    242.70,    250.94,    628.43,    0.6007,    0.3410,       816,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_05S_data.csv , 2023/09/12, 16:14:20,    1694546060401,--Not Acquired--     ,-Not Acquired--      , -1150.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.6596,     0.9772,    243.23,    257.61,    619.00,    0.5838,    0.3680,       751,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_05S_data.csv , 2023/09/12, 16:14:21,    1694546061634,--Not Acquired--     ,-Not Acquired--      , -1155.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5265,     0.9778,    245.49,    257.87,    625.02,    0.5874,    0.3810,       742,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_05S_data.csv , 2023/09/12, 16:14:23,    1694546062862,--Not Acquired--     ,-Not Acquired--      , -1150.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5935,     0.9745,    244.76,    254.52,    627.36,    0.5943,    0.3780,       649,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_05S_data.csv , 2023/09/12, 16:14:24,    1694546064078,--Not Acquired--     ,-Not Acquired--      , -1150.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.7880,     0.9756,    243.91,    254.56,    624.15,    0.5921,    0.3630,       702,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_05S_data.csv , 2023/09/12, 16:14:25,    1694546065301,--Not Acquired--     ,-Not Acquired--      , -1150.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5552,     0.9788,    243.73,    255.19,    623.39,    0.5906,    0.3630,       816,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_05S_data.csv , 2023/09/12, 16:14:26,    1694546066529,--Not Acquired--     ,-Not Acquired--      , -1130.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     4.0977,     0.9959,    253.40,    253.60,    625.08,    0.5943,    0.3550,      4441,    0.0001,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_05S_data.csv , 2023/09/12, 16:14:27,    1694546067628,--Not Acquired--     ,-Not Acquired--      , -1155.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5261,     0.9767,    245.35,    256.45,    624.89,    0.5896,    0.3800,       706,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_05S_data.csv , 2023/09/12, 16:14:29,    1694546068868,--Not Acquired--     ,-Not Acquired--      , -1140.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5184,     0.9767,    245.83,    255.23,    623.06,    0.5904,    0.3760,       712,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_05S_data.csv , 2023/09/12, 16:14:30,    1694546070085,--Not Acquired--     ,-Not Acquired--      , -1160.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5069,     0.9787,    247.04,    257.05,    623.98,    0.5880,    0.3740,       780,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_05S_data.csv , 2023/09/12, 16:14:31,    1694546071321,--Not Acquired--     ,-Not Acquired--      , -1170.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5597,     0.9764,    246.98,    257.41,    624.06,    0.5875,    0.3880,       683,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_05S_data.csv , 2023/09/12, 16:14:32,    1694546072550,--Not Acquired--     ,-Not Acquired--      , -1130.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.4122,     0.9779,    247.23,    255.93,    623.28,    0.5894,    0.3780,       742,    0.9999,
