----,
DateTime:        , 2025/11/18, 11:07:13, 1763478433137,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,     294.12,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     74.298,
    1,        0.8,    164.547,      71.104,     77.026,
    2,        3.3,    180.120,      79.742,     80.087,
    3,        5.8,    180.315,      87.624,     83.196,
    4,        8.3,    180.341,      89.275,     86.344,
    5,       10.8,    180.432,      91.170,     89.531,
    6,       13.3,    180.497,      95.292,     92.754,
    7,       15.8,    180.432,      96.158,     96.010,
    8,       18.3,    180.562,      99.412,     99.301,
    9,       20.8,    180.666,     102.676,    102.625,
   10,       23.3,    180.666,     105.720,    105.978,
   11,       25.8,    180.562,     109.934,    109.356,
   12,       28.3,    180.705,     112.338,    112.762,
   13,       30.8,    180.653,     115.691,    116.189,
   14,       33.3,    180.887,     118.582,    119.641,
   15,       35.8,    180.705,     122.299,    123.108,
   16,       38.3,    180.770,     125.297,    126.591,
   17,       40.8,    180.757,     128.902,    130.086,
   18,       43.3,    180.705,     133.643,    133.589,
   19,       45.8,    180.874,     136.835,    137.102,
   20,       48.3,    180.900,     139.027,    140.618,
   21,       50.8,    180.796,     144.085,    144.132,
   22,       53.3,    180.796,     147.680,    147.643,
   23,       55.8,    180.900,     149.254,    151.149,
   24,       58.3,    180.913,     155.047,    154.645,
   25,       60.8,    180.705,     158.546,    158.123,
   26,       63.3,    180.861,     161.450,    161.587,
   27,       65.8,    180.848,     165.332,    165.029,
   28,       68.3,    180.913,     168.866,    168.449,
   29,       70.8,    180.770,     172.871,    171.838,
