Source DataFile                                       ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\Ottawa_2025\20251118_MaPo2004_12C_8s_data.csv , 2025/11/18, 18:16:51,    1763504211554,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    16.8724,     0.9722,    234.97,    249.79,    548.79,    0.5448,    0.2320, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2004_12C_8s_data.csv , 2025/11/18, 18:17:00,    1763504220104,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.7711,     0.9683,    236.60,    268.61,    526.40,    0.4897,    0.1900,     60759,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2004_12C_8s_data.csv , 2025/11/18, 18:17:08,    1763504228628,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     5.5372,     0.9685,    246.76,    275.09,    509.63,    0.4602,    0.2110,      5983,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2004_12C_8s_data.csv , 2025/11/18, 18:17:17,    1763504237127,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    12.3879,     0.9747,    253.36,    272.47,    509.87,    0.4656,    0.2320,      8323,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2004_12C_8s_data.csv , 2025/11/18, 18:17:25,    1763504245601,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    12.2455,     0.9765,    252.92,    268.68,    513.71,    0.4770,    0.2210,     20357,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2004_12C_8s_data.csv , 2025/11/18, 18:17:34,    1763504254127,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    12.5801,     0.9760,    250.03,    268.90,    515.35,    0.4782,    0.2160,     37019,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2004_12C_8s_data.csv , 2025/11/18, 18:17:42,    1763504262631,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.8983,     0.9678,    247.29,    271.80,    512.65,    0.4698,    0.2260,      4486,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2004_12C_8s_data.csv , 2025/11/18, 18:17:51,    1763504271125,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   121  ,     6.9807,     0.9718,    250.97,    271.98,    513.51,    0.4704,    0.2170,      7078,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2004_12C_8s_data.csv , 2025/11/18, 18:17:59,    1763504279612,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     6.6338,     0.9727,    251.52,    270.96,    514.08,    0.4729,    0.2150,      8338,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2004_12C_8s_data.csv , 2025/11/18, 18:18:08,    1763504288086,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.1627,     0.9704,    250.53,    271.79,    514.52,    0.4718,    0.2210,      5649,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2004_12C_8s_data.csv , 2025/11/18, 18:18:16,    1763504296556,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     5.4516,     0.9699,    248.77,    272.28,    514.74,    0.4710,    0.2060,      7120,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2004_12C_8s_data.csv , 2025/11/18, 18:18:25,    1763504305034,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     8.3656,     0.9740,    252.28,    271.05,    515.92,    0.4746,    0.2200,      9708,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2004_12C_8s_data.csv , 2025/11/18, 18:18:33,    1763504313541,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    10.7855,     0.9754,    252.93,    272.67,    515.83,    0.4714,    0.2250,     12087,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2004_12C_8s_data.csv , 2025/11/18, 18:18:42,    1763504322033,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     6.1331,     0.9736,    251.70,    272.20,    514.93,    0.4714,    0.2200,      9320,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2004_12C_8s_data.csv , 2025/11/18, 18:18:50,    1763504330529,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   122  ,     4.3586,     0.9661,    247.28,    271.36,    515.02,    0.4731,    0.2040,      4644,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2004_12C_8s_data.csv , 2025/11/18, 18:18:59,    1763504339021,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     8.1467,     0.9769,    253.67,    272.78,    515.44,    0.4708,    0.2240,     19645,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2004_12C_8s_data.csv , 2025/11/18, 18:19:07,    1763504347542,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     9.0714,     0.9755,    253.16,    272.09,    515.89,    0.4726,    0.2140,     16117,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2004_12C_8s_data.csv , 2025/11/18, 18:19:16,    1763504356032,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     4.8092,     0.9736,    252.32,    273.24,    515.55,    0.4700,    0.2170,      9421,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2004_12C_8s_data.csv , 2025/11/18, 18:19:24,    1763504364529,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     6.9023,     0.9712,    251.11,    271.87,    516.12,    0.4732,    0.2120,      6851,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2004_12C_8s_data.csv , 2025/11/18, 18:19:33,    1763504373019,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    10.3135,     0.9746,    253.24,    271.79,    515.97,    0.4732,    0.2180,     10745,    1.0000,
