Source DataFile                                        ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
-------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\Ottawa_2025\20251118_MaPo2006_16C_16s_data.csv , 2025/11/18, 17:21:41,    1763500901710,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     5.9142,     0.9742,    215.70,    188.10,    438.42,    0.5710,    0.3440, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2006_16C_16s_data.csv , 2025/11/18, 17:21:58,    1763500918264,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     9.4381,     0.9627,    219.28,    196.92,    422.99,    0.5345,    0.3210,      3751,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2006_16C_16s_data.csv , 2025/11/18, 17:22:14,    1763500934753,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   121  ,     4.0475,     0.9623,    224.30,    200.16,    412.70,    0.5150,    0.3330,      2663,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2006_16C_16s_data.csv , 2025/11/18, 17:22:31,    1763500951234,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     6.0238,     0.9623,    223.76,    199.89,    415.44,    0.5188,    0.3490,      2428,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2006_16C_16s_data.csv , 2025/11/18, 17:22:47,    1763500967698,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.6379,     0.9613,    222.12,    198.20,    417.50,    0.5253,    0.3310,      2716,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2006_16C_16s_data.csv , 2025/11/18, 17:23:04,    1763500984182,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.8489,     0.9607,    221.34,    198.14,    413.57,    0.5209,    0.3280,      2753,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2006_16C_16s_data.csv , 2025/11/18, 17:23:20,    1763501000678,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     5.9354,     0.9636,    223.70,    198.34,    415.37,    0.5225,    0.3330,      2992,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2006_16C_16s_data.csv , 2025/11/18, 17:23:37,    1763501017155,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.9510,     0.9600,    220.81,    198.08,    413.52,    0.5210,    0.3330,      2579,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2006_16C_16s_data.csv , 2025/11/18, 17:23:53,    1763501033679,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.5942,     0.9634,    223.41,    198.42,    414.06,    0.5208,    0.3320,      3000,    1.0000,
