Source DataFile                                      ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
-----------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\Ottawa_2025\20251119_MaPo2006_8C_1s_data.csv , 2025/11/19, 14:35:32,    1763577332531,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     5.1914,     0.9698,    210.25,    129.80,    459.88,    0.7178,    0.3300, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251119_MaPo2006_8C_1s_data.csv , 2025/11/19, 14:35:34,    1763577334065,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.5679,     0.9629,    210.44,    152.47,    430.63,    0.6459,    0.3070,      9626,    1.0000,
C:\LIFT\Ottawa_2025\20251119_MaPo2006_8C_1s_data.csv , 2025/11/19, 14:35:35,    1763577335565,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.2890,     0.9708,    220.30,    155.14,    415.08,    0.6262,    0.3390,      7755,    1.0000,
C:\LIFT\Ottawa_2025\20251119_MaPo2006_8C_1s_data.csv , 2025/11/19, 14:35:37,    1763577337027,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.5393,     0.9756,    218.67,    146.67,    424.48,    0.6545,    0.3440, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251119_MaPo2006_8C_1s_data.csv , 2025/11/19, 14:35:38,    1763577338559,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.4811,     0.9741,    216.62,    139.65,    428.27,    0.6739,    0.3390, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251119_MaPo2006_8C_1s_data.csv , 2025/11/19, 14:35:40,    1763577340093,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.6300,     0.9717,    215.60,    142.20,    415.85,    0.6580,    0.3640,      8775,    1.0000,
C:\LIFT\Ottawa_2025\20251119_MaPo2006_8C_1s_data.csv , 2025/11/19, 14:35:41,    1763577341583,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.6105,     0.9722,    220.28,    145.75,    409.59,    0.6442,    0.3450,      9199,    1.0000,
C:\LIFT\Ottawa_2025\20251119_MaPo2006_8C_1s_data.csv , 2025/11/19, 14:35:43,    1763577343071,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.7760,     0.9760,    219.39,    142.90,    411.84,    0.6530,    0.3440, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251119_MaPo2006_8C_1s_data.csv , 2025/11/19, 14:35:44,    1763577344622,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.3205,     0.9744,    218.54,    139.88,    413.68,    0.6619,    0.3510,     21372,    1.0000,
C:\LIFT\Ottawa_2025\20251119_MaPo2006_8C_1s_data.csv , 2025/11/19, 14:35:46,    1763577346104,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.9492,     0.9667,    216.89,    141.56,    410.59,    0.6552,    0.3680,      3740,    1.0000,
