Source DataFile                                  ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
-------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\Ottawa_2025\20251119_MaPo2011_8_data.csv , 2025/11/19, 16:17:26,    1763583446286,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     5.5061,     0.9763,    225.61,     85.88,    321.27,    0.7327,    0.3190, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251119_MaPo2011_8_data.csv , 2025/11/19, 16:17:28,    1763583447838,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.5882,     0.9778,    233.26,    102.54,    305.81,    0.6647,    0.3010, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251119_MaPo2011_8_data.csv , 2025/11/19, 16:17:29,    1763583449374,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.2153,     0.9778,    237.83,    101.90,    296.26,    0.6560,    0.2800, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251119_MaPo2011_8_data.csv , 2025/11/19, 16:17:31,    1763583450936,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.9190,     0.9851,    244.26,     93.01,    300.13,    0.6901,    0.3440, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251119_MaPo2011_8_data.csv , 2025/11/19, 16:17:32,    1763583452496,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.0264,     0.9724,    231.42,     88.15,    300.64,    0.7068,    0.3180,      6260,    1.0000,
C:\LIFT\Ottawa_2025\20251119_MaPo2011_8_data.csv , 2025/11/19, 16:17:34,    1763583453982,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.7674,     0.9690,    232.37,     93.00,    290.61,    0.6800,    0.3410,      3200,    1.0000,
C:\LIFT\Ottawa_2025\20251119_MaPo2011_8_data.csv , 2025/11/19, 16:17:35,    1763583455462,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.4568,     0.9789,    236.18,     93.49,    286.23,    0.6734,    0.3000, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251119_MaPo2011_8_data.csv , 2025/11/19, 16:17:37,    1763583457008,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.7609,     0.9747,    239.15,     90.82,    289.81,    0.6866,    0.3550,      3798,    1.0000,
C:\LIFT\Ottawa_2025\20251119_MaPo2011_8_data.csv , 2025/11/19, 16:17:38,    1763583458476,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     1.8047,     0.9777,    238.82,     88.97,    290.31,    0.6935,    0.3260,      8858,    1.0000,
