----,
DateTime:        , 2025/11/19, 13:33:30, 1763573610236,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              2,      50, 
SNR_raw:,     322.85,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    120.095,
    1,        0.8,    161.226,     121.259,    125.934,
    2,        3.3,    179.852,     133.729,    132.686,
    3,        5.8,    180.136,     144.890,    139.671,
    4,        8.3,    180.151,     149.319,    146.838,
    5,       10.8,    180.282,     156.144,    154.154,
    6,       13.3,    180.465,     161.805,    161.587,
    7,       15.8,    180.392,     168.799,    169.097,
    8,       18.3,    180.406,     176.269,    176.658,
    9,       20.8,    180.516,     183.364,    184.247,
   10,       23.3,    180.625,     190.727,    191.841,
   11,       25.8,    180.508,     197.221,    199.408,
   12,       28.3,    180.538,     206.328,    206.933,
   13,       30.8,    180.559,     214.057,    214.395,
   14,       33.3,    180.632,     219.507,    221.780,
   15,       35.8,    180.698,     227.451,    229.070,
   16,       38.3,    180.793,     235.352,    236.251,
   17,       40.8,    180.880,     241.043,    243.309,
   18,       43.3,    181.019,     248.869,    250.231,
   19,       45.8,    180.829,     257.702,    256.999,
   20,       48.3,    180.873,     264.550,    263.607,
   21,       50.8,    180.902,     270.588,    270.048,
   22,       53.3,    180.866,     276.448,    276.311,
   23,       55.8,    180.844,     282.841,    282.390,
   24,       58.3,    181.070,     289.391,    288.287,
   25,       60.8,    180.931,     295.692,    293.988,
   26,       63.3,    180.953,     299.525,    299.494,
   27,       65.8,    180.975,     306.948,    304.802,
   28,       68.3,    180.975,     311.092,    309.913,
   29,       70.8,    180.895,     315.376,    314.823,
