----,
DateTime:        , 2025/11/20, 13:54:39, 1763661279363,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              2,     100, 
SNR_raw:,     164.09,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    122.936,
    1,        0.8,    162.248,     126.042,    128.456,
    2,        3.3,    180.487,     136.041,    134.552,
    3,        5.8,    180.663,     145.022,    140.547,
    4,        8.3,    180.711,     149.686,    146.426,
    5,       10.8,    180.793,     153.214,    152.187,
    6,       13.3,    180.831,     157.882,    157.827,
    7,       15.8,    180.838,     163.682,    163.346,
    8,       18.3,    180.846,     166.440,    168.741,
    9,       20.8,    180.876,     172.218,    174.014,
   10,       23.3,    180.816,     177.529,    179.162,
   11,       25.8,    180.823,     181.393,    184.186,
   12,       28.3,    180.812,     186.658,    189.086,
   13,       30.8,    180.883,     191.560,    193.865,
   14,       33.3,    180.820,     197.158,    198.519,
   15,       35.8,    180.876,     202.349,    203.052,
   16,       38.3,    180.920,     205.615,    207.465,
   17,       40.8,    180.920,     211.419,    211.757,
   18,       43.3,    180.980,     215.770,    215.930,
   19,       45.8,    180.973,     219.094,    219.985,
   20,       48.3,    180.935,     223.284,    223.921,
   21,       50.8,    180.976,     227.101,    227.741,
   22,       53.3,    180.898,     232.175,    231.446,
   23,       55.8,    180.894,     234.944,    235.037,
   24,       58.3,    180.950,     239.292,    238.517,
   25,       60.8,    180.984,     242.839,    241.888,
   26,       63.3,    180.980,     246.712,    245.151,
   27,       65.8,    180.976,     248.375,    248.308,
   28,       68.3,    180.905,     252.895,    251.359,
   29,       70.8,    180.943,     253.671,    254.308,
