Source DataFile                                       ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\Ottawa_2025\20251120_MaPo2005_4C_RLC_data.csv , 2025/11/20, 10:37:49,    1763649469681,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     5.1675,     0.9750,    219.28,    150.94,    433.42,    0.6517,    0.3350, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2005_4C_RLC_data.csv , 2025/11/20, 10:38:00,    1763649480210,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     1.3227,     0.8664,    148.91,    230.28,    401.30,    0.4262,    0.1110, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2005_4C_RLC_data.csv , 2025/11/20, 10:38:01,    1763649481766,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.4170,     0.9486,    183.79,    144.71,    349.39,    0.5858,    0.3170, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2005_4C_RLC_data.csv , 2025/11/20, 10:38:12,    1763649492295,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,     30.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.0617,     0.8648,    141.72,    210.44,    336.90,    0.3754,    0.1820, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2005_4C_RLC_data.csv , 2025/11/20, 10:38:14,    1763649493836,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     3.3351,     0.9329,    171.16,    129.43,    293.76,    0.5594,    0.3020, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2005_4C_RLC_data.csv , 2025/11/20, 10:38:24,    1763649504390,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,     50.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.6834,     0.8524,    132.78,    206.45,    303.83,    0.3205,    0.2180, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2005_4C_RLC_data.csv , 2025/11/20, 10:38:26,    1763649505934,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     1.8661,     0.9377,    173.57,    124.06,    266.63,    0.5347,    0.3320,     16117,    1.0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2005_4C_RLC_data.csv , 2025/11/20, 10:38:36,    1763649516427,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,    100.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.0227,     0.8039,    126.76,    230.68,    303.49,    0.2399,    0.3090,       960,    1.0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2005_4C_RLC_data.csv , 2025/11/20, 10:38:38,    1763649517921,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.0127,     0.9026,    159.74,    119.52,    258.13,    0.5370,    0.2140, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2005_4C_RLC_data.csv , 2025/11/20, 10:38:48,    1763649528496,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,    120.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     0.9691,     0.7855,    115.20,    229.67,    297.34,    0.2276,    0.1070, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2005_4C_RLC_data.csv , 2025/11/20, 10:38:50,    1763649530068,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.8963,     0.9190,    168.38,    117.80,    252.78,    0.5340,    0.2390,   8432205,    1.0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2005_4C_RLC_data.csv , 2025/11/20, 10:39:00,    1763649540659,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,    150.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.3577,     0.7664,    105.52,    233.45,    297.09,    0.2142,    0.1720, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2005_4C_RLC_data.csv , 2025/11/20, 10:39:02,    1763649542214,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.4887,     0.8882,    155.20,    120.41,    257.88,    0.5331,    0.1730, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2005_4C_RLC_data.csv , 2025/11/20, 10:39:12,    1763649552782,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,    200.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.0808,     0.7729,    103.48,    244.93,    298.98,    0.1808,    0.2430, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2005_4C_RLC_data.csv , 2025/11/20, 10:39:14,    1763649554358,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.9539,     0.9047,    160.40,    119.01,    253.42,    0.5304,    0.2210, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2005_4C_RLC_data.csv , 2025/11/20, 10:39:25,    1763649564910,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,    300.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.3577,     0.7456,     96.10,    257.25,    301.81,    0.1476,    0.2450, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2005_4C_RLC_data.csv , 2025/11/20, 10:39:26,    1763649566473,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.6756,     0.8527,    140.19,    117.30,    253.74,    0.5377,    0.1320, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2005_4C_RLC_data.csv , 2025/11/20, 10:39:37,    1763649577070,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,    400.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.2996,     0.6450,     76.00,    256.72,    297.14,    0.1360,    0.1890, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2005_4C_RLC_data.csv , 2025/11/20, 10:39:38,    1763649578655,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.6530,     0.8576,    148.92,    112.66,    240.87,    0.5323,    0.0580, 1.000e+07,    1.0000,
