Source DataFile                                      ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,   StDev %,  Flag,        Fo,   StDev %,  Flag,        Fm,   StDev %,  Flag,     Fv/Fm,   StDev %,  Flag,         p,   StDev %,  Flag,    Tau1QA,   StDev %,  Flag,    Alp1QA,   StDev %,  Flag,
-----------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,
C:\LIFT\Ottawa_2025\20251120_MaPo2008_2C_8s_data.csv , 2025/11/20, 15:14:04,    1763666044316,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     6.1145,     0.9820,    214.67,    1.3561,  1000,    116.51,    1.2819,  1000,    505.49,    0.1355,  1000,    0.7695,    0.3368,  1000,    0.4270,    1.5028,  1000, 1.000e+07,   28.9059,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2008_2C_8s_data.csv , 2025/11/20, 15:14:13,    1763666053133,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     5.3584,     0.9829,    214.57,    0.5918,  1000,    130.10,    0.3767,  1000,    476.15,    0.1191,  1000,    0.7268,    0.1253,  1000,    0.4370,    4.1073,  1000, 1.000e+07,  123.5499,  3000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2008_2C_8s_data.csv , 2025/11/20, 15:14:22,    1763666062115,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     5.5787,     0.9839,    218.82,    0.9034,  1000,    131.54,    0.5567,  1000,    450.79,    0.0992,  1000,    0.7082,    0.1878,  1000,    0.4300,    2.3074,  1000, 1.000e+07,   40.8202,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2008_2C_8s_data.csv , 2025/11/20, 15:14:31,    1763666070901,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     6.9781,     0.9847,    218.53,    0.7157,  1000,    125.56,    0.4036,  1000,    457.71,    0.1010,  1000,    0.7257,    0.1256,  1000,    0.4410,    1.9513,  1000,   1111060,   14.3911,  1000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2008_2C_8s_data.csv , 2025/11/20, 15:14:39,    1763666079643,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     4.4487,     0.9812,    218.59,    1.3042,  1000,    121.69,    1.3096,  1000,    461.73,    0.1335,  1000,    0.7364,    0.4074,  1000,    0.4430,    1.6768,  1000,      9847,   17.8863,  1000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2008_2C_8s_data.csv , 2025/11/20, 15:14:48,    1763666088382,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     5.2853,     0.9857,    218.59,    0.9529,  1000,    121.74,    0.5384,  1000,    451.98,    0.1483,  1000,    0.7307,    0.1643,  1000,    0.4530,    3.1122,  1000, 1.000e+07,   38.9846,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2008_2C_8s_data.csv , 2025/11/20, 15:14:57,    1763666097146,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.2650,     0.9774,    217.25,    0.9033,  1000,    122.11,    0.5426,  1000,    445.13,    0.1175,  1000,    0.7257,    0.1846,  1000,    0.4600,    1.7969,  1000,      4165,   15.9298,  1000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2008_2C_8s_data.csv , 2025/11/20, 15:15:06,    1763666105851,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.7167,     0.9850,    220.87,    1.3128,  1000,    124.53,    0.9033,  1000,    446.05,    0.1497,  1000,    0.7208,    0.3066,  1000,    0.4360,    2.7291,  1000, 1.000e+07,   23.9257,  1000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2008_2C_8s_data.csv , 2025/11/20, 15:15:14,    1763666114599,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     3.7938,     0.9870,    221.06,    0.6957,  1000,    122.47,    0.3044,  1000,    446.87,    0.1627,  1000,    0.7259,    0.1057,  1000,    0.4670,    2.4724,  1000,     55578,   21.8292,  1000,    1.0000,    0.0000,  0000,
