Source DataFile                                       ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,   StDev %,  Flag,        Fo,   StDev %,  Flag,        Fm,   StDev %,  Flag,     Fv/Fm,   StDev %,  Flag,         p,   StDev %,  Flag,    Tau1QA,   StDev %,  Flag,    Alp1QA,   StDev %,  Flag,
------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,
C:\LIFT\Ottawa_2025\20251120_MaPo2008_2C_RLC_data.csv , 2025/11/20, 15:22:48,    1763666567841,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     3.7034,     0.9860,    224.53,    1.4451,  1000,    122.75,    1.2863,  1000,    461.62,    0.1680,  1000,    0.7341,    0.3767,  1000,    0.4330,    3.2302,  1000, 1.000e+07,   26.7136,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2008_2C_RLC_data.csv , 2025/11/20, 15:22:58,    1763666578602,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.3389,     0.9188,    185.69,    1.0766,  1000,    216.92,    0.2545,  1000,    468.05,    0.0898,  1000,    0.5365,    0.1978,  1000,    0.1000,   66.0091,  3000, 1.000e+07,  139.5693,  3000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2008_2C_RLC_data.csv , 2025/11/20, 15:23:00,    1763666580543,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   121  ,     3.4793,     0.9825,    219.00,    0.8314,  1000,    125.50,    0.4234,  1000,    396.96,    0.1308,  1000,    0.6838,    0.1650,  1000,    0.4140,    4.5820,  1000, 1.000e+07,   27.3804,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2008_2C_RLC_data.csv , 2025/11/20, 15:23:11,    1763666591353,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,     30.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.3367,     0.8880,    168.94,    3.0137,  1000,    224.32,    0.8529,  1000,    454.28,    0.1574,  1000,    0.5062,    0.7593,  1000,    0.0380,  172.7020,  3000, 1.000e+07,   23.3190,  1000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2008_2C_RLC_data.csv , 2025/11/20, 15:23:13,    1763666593131,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.1638,     0.9773,    212.54,    0.9110,  1000,    123.57,    0.6801,  1000,    383.72,    0.1405,  1000,    0.6780,    0.2716,  1000,    0.4060,    3.4849,  1000,     22786,   22.0150,  1000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2008_2C_RLC_data.csv , 2025/11/20, 15:23:24,    1763666603850,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,     50.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.8196,     0.8866,    171.89,    2.1147,  1000,    280.65,    0.8064,  1000,    478.53,    0.4261,  1000,    0.4135,    0.8661,  1000,    0.0000,    0.0000,  0000, 1.000e+07,   38.3943,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2008_2C_RLC_data.csv , 2025/11/20, 15:23:25,    1763666605596,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.6087,     0.9759,    217.04,    0.6104,  1000,    123.83,    0.2745,  1000,    391.64,    0.0965,  1000,    0.6838,    0.1075,  1000,    0.4120,    4.5244,  1000,      6672,   26.7440,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2008_2C_RLC_data.csv , 2025/11/20, 15:23:36,    1763666616298,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,    100.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     5.2748,     0.8873,    172.38,    5.2679,  1000,    411.66,    0.8418,  1000,    544.65,    0.3302,  1000,    0.2442,    2.2896,  1000,    0.0000,    0.0000,  0000, 1.000e+07,   67.7792,  3000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2008_2C_RLC_data.csv , 2025/11/20, 15:23:38,    1763666618546,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.0617,     0.9780,    218.35,    0.9013,  1000,    128.74,    0.3081,  1000,    423.28,    0.0991,  1000,    0.6959,    0.1200,  1000,    0.3700,    2.8407,  1000, 1.000e+07,   22.2202,  1000,    1.0000,    0.0000,  0000,
