Source DataFile                                       ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,   StDev %,  Flag,        Fo,   StDev %,  Flag,        Fm,   StDev %,  Flag,     Fv/Fm,   StDev %,  Flag,         p,   StDev %,  Flag,    Tau1QA,   StDev %,  Flag,    Alp1QA,   StDev %,  Flag,
------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,
C:\LIFT\Ottawa_2025\20251120_MaPo2009_4C_16s_data.csv , 2025/11/20, 12:02:42,    1763654562261,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     8.6699,     0.9823,    217.72,    1.3035,  1000,     71.87,    1.3549,  1000,    358.88,    0.1054,  1000,    0.7997,    0.3078,  1000,    0.4180,    2.1196,  1000, 1.000e+07,   31.5310,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2009_4C_16s_data.csv , 2025/11/20, 12:02:59,    1763654579066,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   201  ,     2.9696,     0.9808,    217.98,    1.0719,  1000,     77.51,    1.3678,  1000,    339.45,    0.1820,  1000,    0.7717,    0.3346,  1000,    0.4000,    1.6407,  1000, 1.000e+07,   39.5895,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2009_4C_16s_data.csv , 2025/11/20, 12:03:16,    1763654595906,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.6383,     0.9854,    224.88,    0.8539,  1000,     79.93,    0.4541,  1000,    318.10,    0.1922,  1000,    0.7487,    0.1432,  1000,    0.4240,    3.6297,  1000, 1.000e+07,   49.4800,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2009_4C_16s_data.csv , 2025/11/20, 12:03:32,    1763654612689,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     2.1552,     0.9834,    225.67,    1.2293,  1000,     78.50,    1.6353,  1000,    319.36,    0.1032,  1000,    0.7542,    0.4178,  1000,    0.4040,    3.4720,  1000,     64457,   32.4529,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2009_4C_16s_data.csv , 2025/11/20, 12:03:49,    1763654629440,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.4804,     0.9868,    227.52,    0.9670,  1000,     77.21,    0.7321,  1000,    321.30,    0.2100,  1000,    0.7597,    0.2104,  1000,    0.4330,    3.9810,  1000,    589469,   32.2535,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2009_4C_16s_data.csv , 2025/11/20, 12:04:06,    1763654646180,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   122  ,     2.0863,     0.9767,    221.65,    1.2559,  1000,     74.56,    1.8576,  1000,    326.70,    0.1776,  1000,    0.7718,    0.4596,  1000,    0.4280,    2.5549,  1000,      4553,   22.1222,  1000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2009_4C_16s_data.csv , 2025/11/20, 12:04:23,    1763654662892,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.2160,     0.9818,    222.47,    1.0423,  1000,     77.89,    2.0113,  1000,    328.10,    0.1358,  1000,    0.7626,    0.5255,  1000,    0.3920,    3.2074,  1000, 1.000e+07,   34.6676,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2009_4C_16s_data.csv , 2025/11/20, 12:04:39,    1763654679672,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     3.6720,     0.9843,    222.60,    1.1214,  1000,     78.39,    0.9667,  1000,    329.73,    0.1491,  1000,    0.7623,    0.2507,  1000,    0.4210,    3.5586,  1000, 1.000e+07,   28.9192,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2009_4C_16s_data.csv , 2025/11/20, 12:04:56,    1763654696439,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.8287,     0.9855,    226.38,    0.9617,  1000,     78.94,    0.5648,  1000,    331.42,    0.2338,  1000,    0.7618,    0.1728,  1000,    0.4200,    3.8759,  1000, 1.000e+07,   24.4079,  1000,    1.0000,    0.0000,  0000,
