Source DataFile                                        ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,   StDev %,  Flag,        Fo,   StDev %,  Flag,        Fm,   StDev %,  Flag,     Fv/Fm,   StDev %,  Flag,         p,   StDev %,  Flag,    Tau1QA,   StDev %,  Flag,    Alp1QA,   StDev %,  Flag,
-------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,
C:\LIFT\Ottawa_2025\20251120_MaPo2014_24C_16s_data.csv , 2025/11/20, 17:43:46,    1763675026280,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.5435,     0.9600,    227.09,    2.8681,  1000,     61.85,    2.3214,  1000,    211.10,    0.3154,  1000,    0.7070,    0.8357,  1000,    0.1500,   42.2096,  2000, 1.000e+07,   74.6160,  3000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2014_24C_16s_data.csv , 2025/11/20, 17:44:03,    1763675043239,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.7827,     0.9341,    214.62,    2.8732,  1000,     63.97,    2.1627,  1000,    202.39,    0.1685,  1000,    0.6839,    0.8679,  1000,    0.0000,    0.0000,  0000, 1.000e+07,   19.4723,  1000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2014_24C_16s_data.csv , 2025/11/20, 17:44:20,    1763675059999,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.0607,     0.9353,    216.05,    3.4391,  1000,     64.07,    1.5085,  1000,    197.04,    0.3893,  1000,    0.6748,    0.6261,  1000,    0.0000,    0.0000,  0000, 1.000e+07,  124.4478,  3000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2014_24C_16s_data.csv , 2025/11/20, 17:44:36,    1763675076834,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.2493,     0.9574,    235.84,    4.0598,  1000,     66.17,    1.1359,  1000,    193.69,    0.2468,  1000,    0.6584,    0.5059,  1000,    0.0760,   99.2009,  3000, 1.000e+07,   32.2199,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2014_24C_16s_data.csv , 2025/11/20, 17:44:53,    1763675093583,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.4253,     0.9493,    225.75,    4.8929,  1000,     64.68,    1.6353,  1000,    192.70,    0.2489,  1000,    0.6643,    0.6611,  1000,    0.0600,  105.4389,  3000, 1.000e+07,   39.4695,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2014_24C_16s_data.csv , 2025/11/20, 17:45:10,    1763675110332,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     1.9885,     0.9582,    232.36,    3.7407,  1000,     66.50,    1.6114,  1000,    189.67,    0.1883,  1000,    0.6494,    0.7154,  1000,    0.1040,   89.2562,  3000, 1.000e+07,   26.4355,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2014_24C_16s_data.csv , 2025/11/20, 17:45:27,    1763675127089,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     3.4583,     0.9427,    224.20,    3.3608,  1000,     63.74,    1.2036,  1000,    189.88,    0.4490,  1000,    0.6643,    0.4470,  1000,    0.0090,  140.0943,  3000, 1.000e+07,   12.9627,  1000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2014_24C_16s_data.csv , 2025/11/20, 17:45:43,    1763675143842,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.2680,     0.9443,    227.83,    3.4814,  1000,     64.53,    2.9824,  1000,    194.05,    0.2855,  1000,    0.6675,    1.1912,  1000,    0.0000,    0.0000,  0000, 1.000e+07,   45.7052,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2014_24C_16s_data.csv , 2025/11/20, 17:46:00,    1763675160611,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   121  ,     3.5221,     0.9440,    222.14,    4.7852,  1000,     63.94,    1.6887,  1000,    192.04,    0.3356,  1000,    0.6670,    0.7497,  1000,    0.0350,  132.1563,  3000, 1.000e+07,   29.8516,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2014_24C_16s_data.csv , 2025/11/20, 17:46:17,    1763675177359,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.4390,     0.9473,    224.72,    2.7173,  1000,     65.01,    0.8149,  1000,    187.46,    0.3135,  1000,    0.6532,    0.3424,  1000,    0.0480,   91.4177,  3000, 1.000e+07,    9.4234,  1000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2014_24C_16s_data.csv , 2025/11/20, 17:46:34,    1763675194095,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.4090,     0.9386,    218.23,    3.3342,  1000,     65.24,    1.4151,  1000,    192.26,    0.3639,  1000,    0.6607,    0.5869,  1000,    0.0140,  179.4674,  3000, 1.000e+07,   35.2450,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2014_24C_16s_data.csv , 2025/11/20, 17:46:51,    1763675210889,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   122  ,     1.2552,     0.9630,    239.56,    3.5054,  1000,     66.03,    1.3792,  1000,    187.74,    0.1962,  1000,    0.6483,    0.5947,  1000,    0.1110,   80.8325,  3000, 1.000e+07,   32.5727,  2000,    1.0000,    0.0000,  0000,
