----,
DateTime:        , 2025/11/21, 12:37:07, 1763743027804,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              5,     100, 
SNR_raw:,     384.83,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    144.087,
    1,        0.8,    163.429,     144.528,    146.588,
    2,        3.3,    180.657,     149.845,    149.616,
    3,        5.8,    180.661,     154.654,    152.880,
    4,        8.3,    180.713,     157.709,    156.325,
    5,       10.8,    180.683,     160.502,    159.906,
    6,       13.3,    180.672,     164.054,    163.584,
    7,       15.8,    180.698,     167.351,    167.326,
    8,       18.3,    180.761,     171.275,    171.108,
    9,       20.8,    180.854,     174.505,    174.905,
   10,       23.3,    180.791,     177.995,    178.698,
   11,       25.8,    180.817,     182.173,    182.469,
   12,       28.3,    180.810,     185.056,    186.206,
   13,       30.8,    180.821,     189.359,    189.896,
   14,       33.3,    180.847,     193.202,    193.530,
   15,       35.8,    180.858,     196.508,    197.100,
   16,       38.3,    180.881,     199.800,    200.598,
   17,       40.8,    180.892,     203.768,    204.019,
   18,       43.3,    180.836,     206.928,    207.358,
   19,       45.8,    180.910,     210.602,    210.611,
   20,       48.3,    180.918,     213.246,    213.776,
   21,       50.8,    180.921,     217.000,    216.850,
   22,       53.3,    181.011,     219.987,    219.832,
   23,       55.8,    180.962,     222.919,    222.720,
   24,       58.3,    180.907,     226.194,    225.513,
   25,       60.8,    180.925,     228.271,    228.212,
   26,       63.3,    180.933,     231.578,    230.817,
   27,       65.8,    180.873,     234.197,    233.328,
   28,       68.3,    180.933,     236.221,    235.746,
   29,       70.8,    180.970,     238.935,    238.073,
