Source DataFile                                        ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
-------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\Ottawa_2025\20251121_MaPo2016_24C_RLC_data.csv , 2025/11/21, 10:09:25,    1763734165565,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   121  ,     3.2345,     0.9439,    162.84,    109.33,    263.23,    0.5847,    0.4220, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2016_24C_RLC_data.csv , 2025/11/21, 10:09:36,    1763734176124,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     0.9690,     0.9264,    168.20,    147.27,    291.16,    0.4942,    0.2840, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2016_24C_RLC_data.csv , 2025/11/21, 10:09:37,    1763734177681,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.5455,     0.9431,    168.43,    126.53,    279.15,    0.5467,    0.3810, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2016_24C_RLC_data.csv , 2025/11/21, 10:09:48,    1763734188244,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,     30.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.5158,     0.9256,    176.34,    163.42,    320.82,    0.4906,    0.2180, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2016_24C_RLC_data.csv , 2025/11/21, 10:09:49,    1763734189798,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.4151,     0.9521,    174.05,    131.37,    300.81,    0.5633,    0.4000, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2016_24C_RLC_data.csv , 2025/11/21, 10:10:00,    1763734200367,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,     50.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     1.8080,     0.9223,    173.48,    167.58,    318.00,    0.4730,    0.2190, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2016_24C_RLC_data.csv , 2025/11/21, 10:10:02,    1763734201927,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.5446,     0.9492,    169.99,    131.98,    300.41,    0.5607,    0.4070, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2016_24C_RLC_data.csv , 2025/11/21, 10:10:12,    1763734212496,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,    100.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.3089,     0.8769,    150.99,    182.81,    313.95,    0.4177,    0.1500, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2016_24C_RLC_data.csv , 2025/11/21, 10:10:14,    1763734214055,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.2982,     0.9406,    162.18,    129.63,    292.04,    0.5561,    0.4080, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2016_24C_RLC_data.csv , 2025/11/21, 10:10:24,    1763734224603,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,    120.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     1.9128,     0.8602,    148.13,    190.03,    318.59,    0.4035,    0.0830, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2016_24C_RLC_data.csv , 2025/11/21, 10:10:26,    1763734226157,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     2.5942,     0.9434,    163.44,    130.21,    294.34,    0.5576,    0.4160, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2016_24C_RLC_data.csv , 2025/11/21, 10:10:36,    1763734236701,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,    150.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.4138,     0.8519,    146.25,    197.70,    320.88,    0.3839,    0.0550, 1.000e+07,    1.0000,
