----,
DateTime:        , 2025/11/18, 17:33:56, 1763501636268,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              5,      25, 
SNR_raw:,     619.46,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    167.675,
    1,        0.8,    164.133,     168.522,    171.283,
    2,        3.3,    180.039,     176.115,    175.547,
    3,        5.8,    180.300,     183.028,    180.106,
    4,        8.3,    180.366,     186.510,    184.913,
    5,       10.8,    180.457,     191.292,    189.930,
    6,       13.3,    180.484,     195.475,    195.122,
    7,       15.8,    180.601,     200.552,    200.460,
    8,       18.3,    180.405,     205.981,    205.911,
    9,       20.8,    180.654,     211.011,    211.460,
   10,       23.3,    180.680,     215.962,    217.080,
   11,       25.8,    180.654,     221.971,    222.751,
   12,       28.3,    180.536,     226.880,    228.453,
   13,       30.8,    180.863,     232.773,    234.179,
   14,       33.3,    180.824,     239.017,    239.906,
   15,       35.8,    180.903,     244.773,    245.623,
   16,       38.3,    180.876,     250.447,    251.315,
   17,       40.8,    180.916,     256.252,    256.973,
   18,       43.3,    180.811,     262.263,    262.581,
   19,       45.8,    180.955,     268.244,    268.136,
   20,       48.3,    180.850,     273.928,    273.623,
   21,       50.8,    180.785,     279.338,    279.036,
   22,       53.3,    180.863,     284.635,    284.368,
   23,       55.8,    180.916,     290.080,    289.613,
   24,       58.3,    180.850,     295.051,    294.763,
   25,       60.8,    180.968,     299.832,    299.814,
   26,       63.3,    180.837,     305.689,    304.758,
   27,       65.8,    180.876,     310.378,    309.593,
   28,       68.3,    180.863,     314.713,    314.315,
   29,       70.8,    180.994,     319.458,    318.921,
