Source DataFile                                       ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:33:56,    1763501636268,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     6.1469,     0.9688,    198.83,    167.68,    443.46,    0.6219,    0.3790, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:33:58,    1763501637830,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     2.5398,     0.9577,    199.29,    192.33,    410.27,    0.5312,    0.2990,     34862,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:33:59,    1763501639363,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     5.0268,     0.9609,    208.59,    196.90,    393.80,    0.5000,    0.3130,      7110,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:01,    1763501640826,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.0213,     0.9648,    211.09,    189.06,    399.84,    0.5272,    0.3400,      6201,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:02,    1763501642319,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.8457,     0.9702,    208.74,    181.85,    405.19,    0.5512,    0.3450,     98464,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:04,    1763501643858,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     1.9698,     0.9639,    207.54,    185.61,    397.75,    0.5334,    0.3320,      9308,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:05,    1763501645351,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.3642,     0.9503,    206.45,    188.38,    394.21,    0.5221,    0.3360,      2317,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:07,    1763501646827,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.4859,     0.9565,    209.18,    187.57,    397.12,    0.5277,    0.3220,      3573,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:08,    1763501648319,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     2.2513,     0.9670,    212.59,    185.58,    398.58,    0.5344,    0.3510,      6365,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:09,    1763501649800,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.3123,     0.9715,    212.01,    187.09,    399.39,    0.5316,    0.3370, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:11,    1763501651372,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     1.5389,     0.9541,    207.53,    189.05,    398.72,    0.5259,    0.3510,      2490,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:13,    1763501652853,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.7519,     0.9638,    210.67,    188.95,    400.71,    0.5285,    0.3290,      6776,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:14,    1763501654321,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.8991,     0.9687,    212.02,    188.63,    402.83,    0.5317,    0.3300,     19855,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:16,    1763501655825,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.6840,     0.9675,    211.67,    189.05,    402.89,    0.5308,    0.3310,     12934,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:17,    1763501657304,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.1939,     0.9670,    211.58,    189.39,    402.54,    0.5295,    0.3230,     15222,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:18,    1763501658792,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.2845,     0.9641,    211.93,    189.54,    401.30,    0.5277,    0.3440,      5037,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:20,    1763501660280,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.2187,     0.9672,    212.50,    189.66,    402.30,    0.5286,    0.3400,      8444,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:21,    1763501661769,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     2.0398,     0.9624,    209.63,    189.21,    402.73,    0.5302,    0.3210,      7078,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:23,    1763501663248,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.5573,     0.9664,    212.73,    189.49,    402.18,    0.5288,    0.3320,      8429,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:24,    1763501664745,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.2348,     0.9666,    211.94,    189.96,    402.46,    0.5280,    0.3360,      8591,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:26,    1763501666267,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.9575,     0.9504,    208.40,    189.48,    405.40,    0.5326,    0.3490,      1998,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:27,    1763501667763,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.9832,     0.9642,    211.12,    190.60,    404.52,    0.5288,    0.3370,      5994,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:29,    1763501669257,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.1950,     0.9627,    211.42,    190.43,    404.93,    0.5297,    0.3380,      4728,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:30,    1763501670750,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     5.2509,     0.9727,    213.06,    190.17,    405.64,    0.5312,    0.3430, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:32,    1763501672303,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.9635,     0.9641,    210.99,    190.89,    406.73,    0.5307,    0.3410,      5558,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:33,    1763501673810,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.0885,     0.9502,    208.57,    191.01,    409.13,    0.5331,    0.3480,      1982,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:35,    1763501675302,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     5.0375,     0.9711,    215.86,    191.53,    407.84,    0.5304,    0.3490,     10932,    1.0000,
C:\LIFT\Ottawa_2025\20251118_MaPo2007_16C_1s_data.csv , 2025/11/18, 17:34:37,    1763501676824,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.2834,     0.9703,    215.32,    191.68,    408.90,    0.5312,    0.3370,     13676,    1.0000,
