----,
DateTime:        , 2025/11/21, 13:10:30, 1763745030358,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              5,     100, 
SNR_raw:,     290.34,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     66.884,
    1,        0.8,    163.326,      66.738,     67.883,
    2,        3.3,    180.503,      69.140,     69.090,
    3,        5.8,    180.615,      71.312,     70.398,
    4,        8.3,    180.659,      72.512,     71.797,
    5,       10.8,    180.697,      73.936,     73.276,
    6,       13.3,    180.775,      75.342,     74.825,
    7,       15.8,    180.752,      76.237,     76.438,
    8,       18.3,    180.849,      77.744,     78.106,
    9,       20.8,    180.842,      80.070,     79.823,
   10,       23.3,    180.756,      81.546,     81.582,
   11,       25.8,    180.778,      83.085,     83.378,
   12,       28.3,    180.886,      85.579,     85.207,
   13,       30.8,    180.864,      86.806,     87.064,
   14,       33.3,    180.868,      88.352,     88.943,
   15,       35.8,    180.931,      90.642,     90.843,
   16,       38.3,    180.920,      92.196,     92.757,
   17,       40.8,    180.897,      94.418,     94.684,
   18,       43.3,    180.909,      96.071,     96.619,
   19,       45.8,    180.909,      97.729,     98.560,
   20,       48.3,    180.935,     100.699,    100.503,
   21,       50.8,    180.897,     102.268,    102.446,
   22,       53.3,    180.923,     103.911,    104.387,
   23,       55.8,    180.871,     106.706,    106.321,
   24,       58.3,    180.927,     108.110,    108.248,
   25,       60.8,    180.909,     110.443,    110.165,
   26,       63.3,    180.927,     112.642,    112.069,
   27,       65.8,    180.972,     113.719,    113.959,
   28,       68.3,    180.987,     116.362,    115.832,
   29,       70.8,    180.968,     117.811,    117.687,
