----,
DateTime:        , 2025/11/21, 13:22:37, 1763745756899,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              5,     100, 
SNR_raw:,     461.84,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    157.777,
    1,        0.8,    163.492,     159.029,    160.875,
    2,        3.3,    180.473,     165.420,    164.575,
    3,        5.8,    180.603,     171.204,    168.530,
    4,        8.3,    180.677,     173.680,    172.686,
    5,       10.8,    180.733,     177.942,    176.997,
    6,       13.3,    180.733,     181.815,    181.425,
    7,       15.8,    180.785,     185.746,    185.938,
    8,       18.3,    180.867,     189.864,    190.509,
    9,       20.8,    180.789,     194.702,    195.114,
   10,       23.3,    180.759,     199.160,    199.732,
   11,       25.8,    180.804,     203.204,    204.348,
   12,       28.3,    180.867,     207.667,    208.947,
   13,       30.8,    180.826,     212.359,    213.515,
   14,       33.3,    180.844,     216.761,    218.041,
   15,       35.8,    180.859,     221.498,    222.516,
   16,       38.3,    180.856,     226.258,    226.930,
   17,       40.8,    180.841,     230.590,    231.277,
   18,       43.3,    180.952,     235.200,    235.552,
   19,       45.8,    180.815,     239.804,    239.745,
   20,       48.3,    180.923,     244.082,    243.855,
   21,       50.8,    180.874,     248.128,    247.876,
   22,       53.3,    180.859,     252.461,    251.805,
   23,       55.8,    180.923,     256.242,    255.639,
   24,       58.3,    180.908,     260.575,    259.376,
   25,       60.8,    180.978,     263.899,    263.013,
   26,       63.3,    181.004,     267.618,    266.550,
   27,       65.8,    181.064,     270.733,    269.985,
   28,       68.3,    180.997,     274.590,    273.317,
   29,       70.8,    180.937,     277.334,    276.545,
