Source DataFile                                        ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
-------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\Ottawa_2025\20251121_MaPo2022_16C_RLC_data.csv , 2025/11/21, 13:22:37,    1763745756899,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     5.2321,     0.9698,    212.26,    157.78,    358.37,    0.5597,    0.3200, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2022_16C_RLC_data.csv , 2025/11/21, 13:22:47,    1763745767444,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   211  ,     1.2661,     0.8889,    159.71,    213.01,    349.27,    0.3901,    0.1340, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2022_16C_RLC_data.csv , 2025/11/21, 13:22:49,    1763745769021,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.1176,     0.9566,    207.70,    168.37,    330.49,    0.4905,    0.2680,     10205,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2022_16C_RLC_data.csv , 2025/11/21, 13:22:59,    1763745779497,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,     30.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.4557,     0.9234,    187.83,    227.53,    390.10,    0.4167,    0.1150, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2022_16C_RLC_data.csv , 2025/11/21, 13:23:01,    1763745781052,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.4409,     0.9511,    207.47,    185.66,    393.29,    0.5279,    0.2510,      5798,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2022_16C_RLC_data.csv , 2025/11/21, 13:23:11,    1763745791541,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,     50.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.2192,     0.9023,    176.95,    241.11,    397.60,    0.3936,    0.0590, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2022_16C_RLC_data.csv , 2025/11/21, 13:23:13,    1763745793122,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.4215,     0.9518,    205.66,    189.80,    404.52,    0.5308,    0.2360,     11902,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2022_16C_RLC_data.csv , 2025/11/21, 13:23:23,    1763745803624,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,    100.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.2226,     0.8237,    137.05,    248.12,    355.08,    0.3012,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2022_16C_RLC_data.csv , 2025/11/21, 13:23:25,    1763745805198,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.6300,     0.9418,    196.37,    183.49,    380.16,    0.5173,    0.2530,      5203,    1.0000,
