Source DataFile                                       ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,   StDev %,  Flag,        Fo,   StDev %,  Flag,        Fm,   StDev %,  Flag,     Fv/Fm,   StDev %,  Flag,         p,   StDev %,  Flag,    Tau1QA,   StDev %,  Flag,    Alp1QA,   StDev %,  Flag,
------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,
C:\LIFT\Ottawa_2025\20251120_MaPo2007_2C_RLC_data.csv , 2025/11/20, 15:01:29,    1763665289645,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.6705,     0.9807,    216.39,    0.8971,  1000,    129.20,    0.3493,  1000,    455.15,    0.1275,  1000,    0.7161,    0.1110,  1000,    0.4060,    4.4306,  1000, 1.000e+07,   42.7859,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2007_2C_RLC_data.csv , 2025/11/20, 15:01:40,    1763665300451,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.1730,     0.9096,    173.56,    1.3333,  1000,    218.30,    0.3302,  1000,    436.14,    0.1565,  1000,    0.4995,    0.3300,  1000,    0.1370,   46.9028,  2000, 1.000e+07,   27.5953,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2007_2C_RLC_data.csv , 2025/11/20, 15:01:42,    1763665302201,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.5116,     0.9645,    201.40,    0.6926,  1000,    131.76,    0.2298,  1000,    378.55,    0.3959,  1000,    0.6519,    0.1508,  1000,    0.4050,    2.7068,  1000,      4464,   13.4504,  1000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2007_2C_RLC_data.csv , 2025/11/20, 15:01:53,    1763665312920,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,     30.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.2508,     0.8658,    151.36,    5.3947,  1000,    215.71,    1.0684,  1000,    406.35,    0.1280,  1000,    0.4692,    1.0360,  1000,    0.0800,  134.7144,  3000, 1.000e+07,   47.4108,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2007_2C_RLC_data.csv , 2025/11/20, 15:01:54,    1763665314766,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     1.8010,     0.9566,    189.67,    1.0844,  1000,    122.94,    0.5106,  1000,    343.84,    0.1496,  1000,    0.6424,    0.2206,  1000,    0.3370,    8.0417,  1000, 1.000e+07,  153.3456,  3000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2007_2C_RLC_data.csv , 2025/11/20, 15:02:05,    1763665325575,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,     50.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     1.0397,     0.8482,    145.11,    2.0684,  1000,    240.49,    0.7673,  1000,    396.86,    0.3255,  1000,    0.3940,    1.1746,  1000,    0.0460,  150.1840,  3000, 1.000e+07,   31.0597,  2000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2007_2C_RLC_data.csv , 2025/11/20, 15:02:07,    1763665327328,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.1034,     0.9527,    188.83,    1.0280,  1000,    119.90,    0.8084,  1000,    332.37,    0.1138,  1000,    0.6393,    0.3733,  1000,    0.3140,    7.5276,  1000, 1.000e+07,   24.5882,  1000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2007_2C_RLC_data.csv , 2025/11/20, 15:02:18,    1763665338097,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,    100.00,      0.00,      0.00,      0.00,      0.00,      0.00,   211  ,     1.2244,     0.8430,    146.23,    4.4754,  1000,    317.26,    0.9219,  1000,    417.38,    0.4213,  1000,    0.2399,    3.7326,  1000,    0.0000,    0.0000,  0000, 1.000e+07,  185.8620,  3000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2007_2C_RLC_data.csv , 2025/11/20, 15:02:20,    1763665339979,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.2286,     0.9543,    189.95,    0.6257,  1000,    118.70,    0.2714,  1000,    331.26,    0.3488,  1000,    0.6417,    0.1600,  1000,    0.3180,    4.5091,  1000, 1.000e+07,   28.8767,  2000,    1.0000,    0.0000,  0000,
