----,
DateTime:        , 2025/11/20, 16:50:31, 1763671831017,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              2,     100, 
SNR_raw:,     242.92,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    136.631,
    1,        0.8,    161.740,     136.021,    141.841,
    2,        3.3,    180.557,     148.055,    147.814,
    3,        5.8,    180.699,     158.827,    153.945,
    4,        8.3,    180.759,     162.924,    160.211,
    5,       10.8,    180.763,     169.559,    166.592,
    6,       13.3,    180.815,     174.764,    173.072,
    7,       15.8,    180.740,     180.923,    179.628,
    8,       18.3,    180.707,     185.937,    186.247,
    9,       20.8,    180.699,     192.309,    192.913,
   10,       23.3,    180.744,     198.347,    199.613,
   11,       25.8,    180.838,     206.262,    206.335,
   12,       28.3,    180.826,     211.529,    213.062,
   13,       30.8,    180.860,     219.783,    219.781,
   14,       33.3,    180.868,     225.026,    226.480,
   15,       35.8,    180.853,     231.680,    233.146,
   16,       38.3,    180.935,     237.654,    239.770,
   17,       40.8,    181.036,     243.874,    246.341,
   18,       43.3,    180.913,     252.332,    252.843,
   19,       45.8,    180.927,     258.391,    259.270,
   20,       48.3,    180.931,     264.465,    265.611,
   21,       50.8,    180.927,     271.103,    271.858,
   22,       53.3,    180.913,     277.482,    278.002,
   23,       55.8,    180.984,     284.556,    284.039,
   24,       58.3,    180.879,     291.632,    289.955,
   25,       60.8,    181.021,     296.374,    295.751,
   26,       63.3,    181.066,     302.652,    301.419,
   27,       65.8,    180.980,     306.940,    306.949,
   28,       68.3,    180.965,     313.044,    312.339,
   29,       70.8,    181.073,     319.208,    317.588,
