Source DataFile                                        ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,   StDev %,  Flag,        Fo,   StDev %,  Flag,        Fm,   StDev %,  Flag,     Fv/Fm,   StDev %,  Flag,         p,   StDev %,  Flag,    Tau1QA,   StDev %,  Flag,    Alp1QA,   StDev %,  Flag,
-------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,----------,----------,------,
C:\LIFT\Ottawa_2025\20251120_MaPo2013_24C_RLC_data.csv , 2025/11/20, 17:29:02,    1763674142121,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     4.9965,     0.9411,    217.50,    2.0651,  1000,    109.12,    0.6682,  1000,    273.42,    0.1219,  1000,    0.6009,    0.3460,  1000,    0.0400,  115.9150,  3000, 1.000e+07,   10.7080,  1000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2013_24C_RLC_data.csv , 2025/11/20, 17:29:13,    1763674152892,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     0.9763,     0.9165,    192.13,    1.8251,  1000,    173.05,    0.6982,  1000,    310.15,    0.0988,  1000,    0.4420,    0.6924,  1000,    0.0310,  147.0864,  3000, 1.000e+07,   10.1457,  1000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2013_24C_RLC_data.csv , 2025/11/20, 17:29:14,    1763674154637,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.4029,     0.9305,    210.46,    1.8302,  1000,    132.85,    0.9795,  1000,    295.93,    0.3015,  1000,    0.5511,    0.7399,  1000,    0.0000,    0.0000,  0000, 1.000e+07,   10.0700,  1000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2013_24C_RLC_data.csv , 2025/11/20, 17:29:25,    1763674165399,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,     30.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     0.9858,     0.9337,    210.82,    2.9385,  1000,    192.58,    0.7436,  1000,    336.27,    0.1395,  1000,    0.4273,    0.8184,  1000,    0.0240,  138.0345,  3000, 1.000e+07,   11.6644,  1000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2013_24C_RLC_data.csv , 2025/11/20, 17:29:27,    1763674167148,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.2187,     0.9401,    221.27,    0.7466,  1000,    137.72,    0.2443,  1000,    314.70,    0.1685,  1000,    0.5624,    0.1709,  1000,    0.1180,   24.4972,  1000,      3662,    6.8007,  1000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2013_24C_RLC_data.csv , 2025/11/20, 17:29:38,    1763674177870,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,     50.00,      0.00,      0.00,      0.00,      0.00,      0.00,   121  ,     1.0830,     0.9262,    205.74,    4.9612,  1000,    210.11,    1.0680,  1000,    346.06,    0.5671,  1000,    0.3929,    1.1901,  1000,    0.0000,    0.0000,  0000, 1.000e+07,    0.0000,  0000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2013_24C_RLC_data.csv , 2025/11/20, 17:29:39,    1763674179776,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.7642,     0.9373,    215.93,    1.9880,  1000,    138.76,    0.9562,  1000,    319.61,    0.1574,  1000,    0.5658,    0.5421,  1000,    0.1290,   48.3724,  2000,      3584,   13.7343,  1000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2013_24C_RLC_data.csv , 2025/11/20, 17:29:50,    1763674190492,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,    100.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.4205,     0.8804,    167.67,    3.1222,  1000,    238.34,    0.7423,  1000,    347.82,    0.5532,  1000,    0.3148,    1.9034,  1000,    0.0000,    0.0000,  0000, 1.000e+07,   22.5399,  1000,    1.0000,    0.0000,  0000,
C:\LIFT\Ottawa_2025\20251120_MaPo2013_24C_RLC_data.csv , 2025/11/20, 17:29:52,    1763674192294,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.8910,     0.9347,    216.89,    1.5856,  1000,    137.53,    0.6430,  1000,    315.00,    0.1281,  1000,    0.5634,    0.4040,  1000,    0.0910,   54.2590,  3000,      3983,    8.2329,  1000,    1.0000,    0.0000,  0000,
