----,
DateTime:        , 2025/11/20, 17:47:28, 1763675248671,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              2,     100, 
SNR_raw:,      90.27,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     60.454,
    1,        0.8,    163.279,      62.470,     64.418,
    2,        3.3,    180.617,      69.921,     68.747,
    3,        5.8,    180.680,      76.655,     73.012,
    4,        8.3,    180.747,      80.499,     77.199,
    5,       10.8,    180.725,      81.893,     81.296,
    6,       13.3,    180.791,      85.181,     85.298,
    7,       15.8,    180.818,      88.764,     89.198,
    8,       18.3,    180.758,      93.219,     92.992,
    9,       20.8,    180.870,      95.096,     96.679,
   10,       23.3,    180.791,     101.222,    100.255,
   11,       25.8,    180.829,     102.583,    103.722,
   12,       28.3,    180.814,     106.740,    107.079,
   13,       30.8,    180.855,     108.651,    110.328,
   14,       33.3,    180.892,     113.880,    113.469,
   15,       35.8,    180.892,     114.986,    116.506,
   16,       38.3,    180.888,     118.305,    119.438,
   17,       40.8,    180.866,     120.531,    122.269,
   18,       43.3,    180.914,     124.368,    125.002,
   19,       45.8,    180.903,     127.416,    127.638,
   20,       48.3,    180.910,     128.793,    130.180,
   21,       50.8,    180.892,     133.505,    132.631,
   22,       53.3,    180.896,     135.437,    134.993,
   23,       55.8,    180.907,     137.640,    137.270,
   24,       58.3,    180.955,     141.195,    139.464,
   25,       60.8,    180.914,     143.162,    141.577,
   26,       63.3,    180.981,     143.661,    143.612,
   27,       65.8,    180.918,     145.923,    145.571,
   28,       68.3,    180.948,     148.385,    147.458,
   29,       70.8,    180.925,     151.167,    149.274,
