Source DataFile                                        ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
-------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\Ottawa_2025\20251121_MaPo2015_28C_RLC_data.csv , 2025/11/21, 15:58:54,    1763755134757,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     5.9764,     0.9652,    232.74,    154.44,    308.23,    0.4989,    0.1710, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2015_28C_RLC_data.csv , 2025/11/21, 15:59:05,    1763755145303,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.3867,     0.9349,    215.62,    217.68,    342.36,    0.3642,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2015_28C_RLC_data.csv , 2025/11/21, 15:59:07,    1763755146859,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.3570,     0.9506,    223.42,    175.19,    326.40,    0.4633,    0.0860, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2015_28C_RLC_data.csv , 2025/11/21, 15:59:17,    1763755157437,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,     30.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     2.8464,     0.9378,    234.84,    233.02,    359.30,    0.3515,    0.0000,      4228,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2015_28C_RLC_data.csv , 2025/11/21, 15:59:19,    1763755158923,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     1.9471,     0.9514,    224.44,    175.16,    332.33,    0.4729,    0.0870, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2015_28C_RLC_data.csv , 2025/11/21, 15:59:29,    1763755169483,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,     50.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.0968,     0.9353,    237.77,    246.83,    363.32,    0.3206,    0.0000,      3017,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2015_28C_RLC_data.csv , 2025/11/21, 15:59:31,    1763755170968,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     3.1224,     0.9426,    216.13,    176.58,    336.77,    0.4757,    0.0620, 1.000e+07,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2015_28C_RLC_data.csv , 2025/11/21, 15:59:41,    1763755181521,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,    100.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.7282,     0.8668,    188.28,    260.82,    359.02,    0.2735,    0.0000,      1206,    1.0000,
C:\LIFT\Ottawa_2025\20251121_MaPo2015_28C_RLC_data.csv , 2025/11/21, 15:59:43,    1763755182987,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.1675,     0.9383,    214.40,    178.56,    341.73,    0.4775,    0.0380, 1.000e+07,    1.0000,
